programme,record_id_1,record_id_2,canonical_person_id,canonical_national_id,duplicate_type
SCH,SCH-000736,SCH-001330,381,88960861,near
SCH,SCH-000195,SCH-001331,539,78946993,near
SCH,SCH-001086,SCH-001332,1622,61372134,exact
SCH,SCH-000634,SCH-001333,90,39009803,formatting
SCH,SCH-000306,SCH-001334,1545,44462133,exact
SCH,SCH-000437,SCH-001335,2690,52538666,exact
SCH,SCH-000057,SCH-001336,2308,13904497,near
SCH,SCH-001036,SCH-001337,1383,78189543,formatting
SCH,SCH-000786,SCH-001338,137,85102924,near
SCH,SCH-000358,SCH-001339,762,44065587,exact
SCH,SCH-001026,SCH-001340,1584,86520791,exact
SCH,SCH-000932,SCH-001341,320,61660590,updated
SCH,SCH-000286,SCH-001342,1593,78320452,near
SCH,SCH-000009,SCH-001343,1692,62193650,formatting
SCH,SCH-000492,SCH-001344,1654,31161881,formatting
SCH,SCH-000199,SCH-001345,61,20204415,near
SCH,SCH-000269,SCH-001346,291,95716350,exact
SCH,SCH-000512,SCH-001347,2069,58294486,updated
SCH,SCH-000047,SCH-001348,704,97510445,near
SCH,SCH-000317,SCH-001349,2047,25012106,formatting
SCH,SCH-000685,SCH-001350,1092,95094024,formatting
SCH,SCH-000554,SCH-001351,2667,46079842,updated
SCH,SCH-000295,SCH-001352,817,67937221,formatting
SCH,SCH-001083,SCH-001353,1131,41208729,near
SCH,SCH-000357,SCH-001354,1358,39029725,updated
SCH,SCH-000633,SCH-001355,134,24875109,near
SCH,SCH-000037,SCH-001356,880,14542798,near
SCH,SCH-000073,SCH-001357,160,72624210,near
SCH,SCH-000524,SCH-001358,2194,35966874,near
SCH,SCH-000013,SCH-001359,488,73906952,formatting
SCH,SCH-000858,SCH-001360,1748,98126574,updated
SCH,SCH-000592,SCH-001361,804,87083341,near
SCH,SCH-001076,SCH-001362,1314,81436260,near
SCH,SCH-000469,SCH-001363,2662,84513202,exact
SCH,SCH-000704,SCH-001364,1555,75916227,updated
SCH,SCH-000551,SCH-001365,555,43005188,exact
SCH,SCH-000154,SCH-001366,19,37868462,formatting
SCH,SCH-000256,SCH-001367,2878,99127258,near
SCH,SCH-000544,SCH-001368,856,55161836,updated
SCH,SCH-000097,SCH-001369,2452,84469533,updated
SCH,SCH-000157,SCH-001370,1171,49399106,near
SCH,SCH-001081,SCH-001371,701,36252609,formatting
SCH,SCH-000589,SCH-001372,1221,22913709,formatting
SCH,SCH-000334,SCH-001373,489,31246090,near
SCH,SCH-000755,SCH-001374,2973,95115329,near
SCH,SCH-000188,SCH-001375,2211,18343342,updated
SCH,SCH-000895,SCH-001376,262,75655873,updated
SCH,SCH-000691,SCH-001377,2661,87943239,formatting
SCH,SCH-000848,SCH-001378,546,36911168,formatting
SCH,SCH-001049,SCH-001379,1355,36358707,near
SCH,SCH-000950,SCH-001380,1210,37425725,updated
SCH,SCH-000330,SCH-001381,333,40563463,updated
SCH,SCH-000860,SCH-001382,163,78870570,near
SCH,SCH-000676,SCH-001383,407,19819744,near
SCH,SCH-000165,SCH-001384,1329,40930568,near
SCH,SCH-000286,SCH-001385,1593,78320452,formatting
SCH,SCH-000887,SCH-001386,2075,78782838,formatting
SCH,SCH-001044,SCH-001387,1005,80935218,formatting
SCH,SCH-000308,SCH-001388,2039,77636701,formatting
SCH,SCH-000696,SCH-001389,442,69750285,formatting
SCH,SCH-000655,SCH-001390,960,13269183,updated
SCH,SCH-000828,SCH-001391,1771,56995391,near
SCH,SCH-000736,SCH-001392,381,88960861,exact
SCH,SCH-000450,SCH-001393,1390,26699133,formatting
SCH,SCH-000660,SCH-001394,1098,90611355,exact
SCH,SCH-001106,SCH-001395,2967,15838870,exact
SCH,SCH-000088,SCH-001396,2234,21860851,near
SCH,SCH-001102,SCH-001397,1406,74731404,updated
SCH,SCH-000650,SCH-001398,1094,96643468,formatting
SCH,SCH-000484,SCH-001399,2828,54431754,exact
SCH,SCH-000017,SCH-001400,1749,56080521,formatting
SCH,SCH-000172,SCH-001401,734,44845000,exact
SCH,SCH-000504,SCH-001402,1740,83568190,updated
SCH,SCH-000380,SCH-001403,2830,77505434,near
SCH,SCH-000847,SCH-001404,1994,15062785,updated
SCH,SCH-000981,SCH-001405,576,23306584,near
SCH,SCH-001046,SCH-001406,116,88306842,exact
SCH,SCH-000192,SCH-001407,2035,95667481,formatting
SCH,SCH-000201,SCH-001408,1891,80822714,updated
SCH,SCH-001121,SCH-001409,680,51570260,exact
SCH,SCH-000323,SCH-001410,2670,70463012,exact
SCH,SCH-000977,SCH-001411,2010,95190598,exact
SCH,SCH-000432,SCH-001412,184,56047075,formatting
SCH,SCH-000833,SCH-001413,2894,93868796,formatting
SCH,SCH-000269,SCH-001414,291,95716350,formatting
SCH,SCH-000587,SCH-001415,2381,82568847,formatting
SCH,SCH-000620,SCH-001416,1169,15598844,near
SCH,SCH-000982,SCH-001417,1731,30344320,exact
SCH,SCH-001027,SCH-001418,988,42390660,updated
SCH,SCH-001029,SCH-001419,2802,10713121,formatting
SCH,SCH-000525,SCH-001420,1266,46790628,near
SCH,SCH-000095,SCH-001421,412,34219451,formatting
SCH,SCH-000523,SCH-001422,2538,75796428,near
SCH,SCH-000816,SCH-001423,1438,58269850,near
SCH,SCH-000557,SCH-001424,2073,12429893,exact
SCH,SCH-000416,SCH-001425,2501,46793365,near
VOC,VOC-001009,VOC-001126,2528,22065080,formatting
VOC,VOC-000544,VOC-001127,2570,35177082,exact
VOC,VOC-000066,VOC-001128,2242,12952658,near
VOC,VOC-000258,VOC-001129,2715,76597184,near
VOC,VOC-000164,VOC-001130,2863,87754278,exact
VOC,VOC-000679,VOC-001131,1270,82041503,exact
VOC,VOC-000735,VOC-001132,1297,84833535,near
VOC,VOC-000373,VOC-001133,276,12919231,exact
VOC,VOC-000869,VOC-001134,1750,25264369,exact
VOC,VOC-000968,VOC-001135,165,33392072,updated
VOC,VOC-001090,VOC-001136,2637,54756034,formatting
VOC,VOC-000143,VOC-001137,167,88380820,near
VOC,VOC-000163,VOC-001138,1265,75453166,formatting
VOC,VOC-000764,VOC-001139,2522,85251775,near
VOC,VOC-000200,VOC-001140,308,53952205,near
VOC,VOC-000662,VOC-001141,1038,36349479,updated
VOC,VOC-000990,VOC-001142,1838,46069270,near
VOC,VOC-000657,VOC-001143,2531,80397312,near
VOC,VOC-000795,VOC-001144,1254,37852975,near
VOC,VOC-000685,VOC-001145,117,69391930,formatting
VOC,VOC-000896,VOC-001146,2438,89161407,updated
VOC,VOC-000650,VOC-001147,936,21463219,exact
VOC,VOC-000607,VOC-001148,2758,11812674,exact
VOC,VOC-000333,VOC-001149,1025,50468810,formatting
VOC,VOC-000180,VOC-001150,2288,45355912,updated
VOC,VOC-000284,VOC-001151,1583,11951278,near
VOC,VOC-000341,VOC-001152,1476,28774471,formatting
VOC,VOC-000747,VOC-001153,36,32417070,near
VOC,VOC-001040,VOC-001154,806,31829800,near
VOC,VOC-000445,VOC-001155,71,43382936,near
VOC,VOC-001000,VOC-001156,2497,61860619,updated
VOC,VOC-001025,VOC-001157,1251,66752122,formatting
VOC,VOC-000533,VOC-001158,2921,36014440,formatting
VOC,VOC-000202,VOC-001159,803,12458919,updated
VOC,VOC-000482,VOC-001160,2731,67192629,near
VOC,VOC-001040,VOC-001161,806,31829800,near
VOC,VOC-000731,VOC-001162,576,23306584,near
VOC,VOC-000671,VOC-001163,1922,32859170,exact
VOC,VOC-000314,VOC-001164,2481,82462154,near
VOC,VOC-000928,VOC-001165,2607,94060783,formatting
VOC,VOC-001070,VOC-001166,939,90511561,updated
VOC,VOC-000957,VOC-001167,697,95624361,near
VOC,VOC-001017,VOC-001168,652,14288227,near
VOC,VOC-000899,VOC-001169,1534,83907211,exact
VOC,VOC-000358,VOC-001170,1027,10580409,formatting
VOC,VOC-000446,VOC-001171,2233,57584677,near
VOC,VOC-000161,VOC-001172,2666,47871627,formatting
VOC,VOC-000479,VOC-001173,76,74764506,near
VOC,VOC-000403,VOC-001174,1581,16952045,formatting
VOC,VOC-000484,VOC-001175,375,40799334,exact
VOC,VOC-000712,VOC-001176,246,43739900,near
VOC,VOC-000569,VOC-001177,318,26144121,near
VOC,VOC-000091,VOC-001178,451,14456047,near
VOC,VOC-000401,VOC-001179,2976,62901281,near
VOC,VOC-000781,VOC-001180,2415,66230595,formatting
VOC,VOC-000299,VOC-001181,1444,70204171,near
VOC,VOC-000745,VOC-001182,1985,36738225,near
VOC,VOC-000835,VOC-001183,24,33535297,near
VOC,VOC-001016,VOC-001184,2842,63685963,near
VOC,VOC-000639,VOC-001185,1612,69976098,exact
VOC,VOC-000582,VOC-001186,1810,37921512,exact
VOC,VOC-000683,VOC-001187,85,54988861,near
VOC,VOC-000615,VOC-001188,1202,89118492,near
VOC,VOC-000589,VOC-001189,60,64644684,formatting
VOC,VOC-000184,VOC-001190,784,70613787,near
VOC,VOC-000065,VOC-001191,1432,23062971,formatting
VOC,VOC-000725,VOC-001192,460,55925432,near
VOC,VOC-001027,VOC-001193,1256,35520607,near
VOC,VOC-000349,VOC-001194,2800,97956703,updated
VOC,VOC-000577,VOC-001195,305,87470671,updated
VOC,VOC-000801,VOC-001196,1451,31183862,exact
VOC,VOC-000053,VOC-001197,1875,10502052,formatting
VOC,VOC-000735,VOC-001198,1297,84833535,near
VOC,VOC-000924,VOC-001199,13,13600310,updated
VOC,VOC-000434,VOC-001200,1571,88103477,exact
VOC,VOC-001095,VOC-001201,2585,69224618,near
VOC,VOC-000149,VOC-001202,2471,16927312,updated
VOC,VOC-000150,VOC-001203,2616,38673273,exact
VOC,VOC-000152,VOC-001204,2143,77177290,near
VOC,VOC-000808,VOC-001205,2909,47173534,exact
VOC,VOC-000384,VOC-001206,2662,84513202,formatting
VOC,VOC-000777,VOC-001207,2516,71156898,updated
VOC,VOC-000147,VOC-001208,819,49075648,near
VOC,VOC-000870,VOC-001209,2503,51968530,formatting
VOC,VOC-000957,VOC-001210,697,95624361,updated
VOC,VOC-000097,VOC-001211,1500,33179292,near
VOC,VOC-001042,VOC-001212,2673,90254666,updated
VOC,VOC-000344,VOC-001213,287,33516421,updated
VOC,VOC-000318,VOC-001214,1656,47959633,near
VOC,VOC-000172,VOC-001215,1823,26947996,formatting
VOC,VOC-001024,VOC-001216,1805,30528733,formatting
VOC,VOC-000870,VOC-001217,2503,51968530,formatting
VOC,VOC-001062,VOC-001218,400,55324613,near
VOC,VOC-000994,VOC-001219,1002,46663600,near
VOC,VOC-000432,VOC-001220,1935,74318409,formatting
VOC,VOC-000339,VOC-001221,2711,84286913,formatting
VOC,VOC-000824,VOC-001222,203,68535809,updated
VOC,VOC-001018,VOC-001223,2784,78131606,near
VOC,VOC-000935,VOC-001224,949,59803545,formatting
VOC,VOC-000479,VOC-001225,76,74764506,formatting
VOC,VOC-000183,VOC-001226,1239,60267929,formatting
VOC,VOC-000124,VOC-001227,984,55305628,formatting
VOC,VOC-001066,VOC-001228,745,95040154,near
VOC,VOC-000209,VOC-001229,2523,33205321,formatting
VOC,VOC-000576,VOC-001230,2733,68602342,exact
VOC,VOC-000928,VOC-001231,2607,94060783,near
VOC,VOC-000683,VOC-001232,85,54988861,near
VOC,VOC-000039,VOC-001233,2464,91082703,formatting
VOC,VOC-000283,VOC-001234,2655,36135120,formatting
VOC,VOC-000447,VOC-001235,2592,47364992,near
VOC,VOC-000082,VOC-001236,882,29766571,exact
VOC,VOC-001050,VOC-001237,2920,35645457,near
VOC,VOC-000114,VOC-001238,573,50248639,near
VOC,VOC-001117,VOC-001239,2865,97037399,near
VOC,VOC-001024,VOC-001240,1805,30528733,near
VOC,VOC-000707,VOC-001241,1701,63690535,near
VOC,VOC-000339,VOC-001242,2711,84286913,formatting
VOC,VOC-000592,VOC-001243,566,65402833,near
VOC,VOC-000210,VOC-001244,1144,47452871,formatting
VOC,VOC-000542,VOC-001245,1042,25099746,formatting
VOC,VOC-000436,VOC-001246,836,47384667,updated
VOC,VOC-000801,VOC-001247,1451,31183862,updated
VOC,VOC-001060,VOC-001248,2506,12675965,formatting
VOC,VOC-000499,VOC-001249,1564,26195804,near
VOC,VOC-000563,VOC-001250,155,32708438,near
VOC,VOC-001022,VOC-001251,2584,82250099,near
VOC,VOC-000811,VOC-001252,1473,37332854,near
VOC,VOC-000106,VOC-001253,72,46953423,updated
VOC,VOC-000857,VOC-001254,2443,64910054,exact
VOC,VOC-000493,VOC-001255,2849,99646907,near
VOC,VOC-000239,VOC-001256,766,11404682,formatting
VOC,VOC-000857,VOC-001257,2443,64910054,formatting
VOC,VOC-001012,VOC-001258,2712,97043369,formatting
VOC,VOC-000859,VOC-001259,359,68410653,exact
VOC,VOC-000039,VOC-001260,2464,91082703,exact
VOC,VOC-000639,VOC-001261,1612,69976098,exact
VOC,VOC-000867,VOC-001262,1386,98685344,near
VOC,VOC-000158,VOC-001263,2482,78683307,exact
VOC,VOC-000727,VOC-001264,2588,22404243,near
VOC,VOC-000956,VOC-001265,1628,53043124,near
VOC,VOC-000388,VOC-001266,1435,98519805,formatting
VOC,VOC-000901,VOC-001267,2850,28570786,exact
VOC,VOC-000810,VOC-001268,2980,57802228,exact
VOC,VOC-000118,VOC-001269,2431,35144726,exact
VOC,VOC-000705,VOC-001270,2684,21410295,near
VOC,VOC-001040,VOC-001271,806,31829800,formatting
VOC,VOC-000210,VOC-001272,1144,47452871,near
VOC,VOC-000693,VOC-001273,2268,30338272,near
VOC,VOC-000419,VOC-001274,1561,96095674,exact
VOC,VOC-000407,VOC-001275,1929,71604156,updated
VOC,VOC-000163,VOC-001276,1265,75453166,formatting
VOC,VOC-001092,VOC-001277,2879,71413187,updated
VOC,VOC-001032,VOC-001278,2199,30546143,near
VOC,VOC-000700,VOC-001279,542,50292372,near
VOC,VOC-001107,VOC-001280,476,59243476,updated
VOC,VOC-000138,VOC-001281,2578,84618453,formatting
VOC,VOC-000671,VOC-001282,1922,32859170,near
VOC,VOC-000011,VOC-001283,1037,41110667,near
VOC,VOC-000420,VOC-001284,642,77121355,formatting
VOC,VOC-000735,VOC-001285,1297,84833535,formatting
VOC,VOC-000939,VOC-001286,1939,94973393,near
VOC,VOC-000375,VOC-001287,1389,25132415,near
VOC,VOC-000967,VOC-001288,2221,68066393,formatting
VOC,VOC-001090,VOC-001289,2637,54756034,exact
VOC,VOC-000454,VOC-001290,928,37467964,near
VOC,VOC-000831,VOC-001291,2287,19971406,exact
VOC,VOC-000631,VOC-001292,691,80272722,formatting
VOC,VOC-000305,VOC-001293,681,71587674,exact
VOC,VOC-000890,VOC-001294,2401,82957881,formatting
VOC,VOC-001114,VOC-001295,1146,26935536,updated
VOC,VOC-000092,VOC-001296,842,76245685,formatting
VOC,VOC-000809,VOC-001297,676,60984196,formatting
VOC,VOC-000933,VOC-001298,2695,68953251,exact
VOC,VOC-000477,VOC-001299,2425,72606225,formatting
VOC,VOC-000862,VOC-001300,2636,74668530,exact
VOC,VOC-000054,VOC-001301,148,71572793,formatting
VOC,VOC-000274,VOC-001302,2406,74650288,formatting
VOC,VOC-000280,VOC-001303,2560,38889586,updated
VOC,VOC-001036,VOC-001304,2389,46632288,exact
VOC,VOC-000578,VOC-001305,171,61793831,formatting
VOC,VOC-000774,VOC-001306,2280,32907135,formatting
VOC,VOC-000928,VOC-001307,2607,94060783,formatting
VOC,VOC-000163,VOC-001308,1265,75453166,near
VOC,VOC-001055,VOC-001309,903,17259175,near
VOC,VOC-001102,VOC-001310,2505,36578446,near
VOC,VOC-001084,VOC-001311,452,58537393,near
VOC,VOC-000817,VOC-001312,2238,32638266,exact
VOC,VOC-000855,VOC-001313,2982,20135745,exact
VOC,VOC-001047,VOC-001314,651,65277579,updated
VOC,VOC-000750,VOC-001315,2410,73884512,exact
VOC,VOC-000143,VOC-001316,167,88380820,formatting
VOC,VOC-000463,VOC-001317,2257,47603482,formatting
VOC,VOC-000160,VOC-001318,1513,74642957,formatting
VOC,VOC-001100,VOC-001319,2098,74594778,updated
VOC,VOC-001047,VOC-001320,651,65277579,formatting
VOC,VOC-000943,VOC-001321,820,91335378,exact
VOC,VOC-001052,VOC-001322,2944,35444694,near
VOC,VOC-001049,VOC-001323,669,60224330,formatting
VOC,VOC-000632,VOC-001324,30,46160937,formatting
VOC,VOC-000615,VOC-001325,1202,89118492,near
VOC,VOC-000875,VOC-001326,1424,47549488,near
VOC,VOC-000175,VOC-001327,1415,76805175,near
VOC,VOC-000065,VOC-001328,1432,23062971,near
VOC,VOC-000622,VOC-001329,592,85701885,formatting
