canonical_person_id,canonical_full_name,canonical_national_id,canonical_phone,canonical_email,canonical_dob,canonical_gender,canonical_county,canonical_sub_county,canonical_ward,canonical_address
105,Moraa Kipkemboi Wanjohi,75618337,010119989,moraa.wanjohi@gmail.com,1951-12-21,Male,Nairobi,Dagoretti North,Kilimani,"House 234, Waiyaki Road, Kileleshwa"
106,Owuor Rachel Gikonyo,32555403,011487896,owuor.gikonyo@yahoo.com,1999-01-05,Female,Nairobi,Kasarani,Ruai,"House 9, Tom Mboya Road, Limuru"
107,Wachira Jonah Sigei,92147935,071757658,wachira.sigei@outlook.com,1985-09-08,Male,Kiambu,Lari,Kinale,"Plot 260, Lane 7, Kasarani"
108,Janet Ochieng Karanja,82123324,072265722,janet.karanja@outlook.com,1970-04-24,Female,Kakamega,Khwisero,Kisa Central,"House 118, Ngong Avenue, Kiambu Road"
109,Nicholas Mutisya Gitau,94828438,075382795,nicholas.gitau@gmail.com,1998-01-09,Female,Nairobi,Lang'ata,South C,"Plot 390, Lane 10, Limuru"
110,Mogaka Kerubo Kipkorir,89426243,072701568,mogaka.kipkorir@hotmail.com,1972-08-24,Male,Bungoma,Mt. Elgon,Kaptama,"House 246, Thika Superhighway Road, River Road"
111,Wangeci Kiprop Ndunge,64406548,072928226,wangeci.ndunge@hotmail.com,1985-01-28,Female,Uasin Gishu,Ainabkoi,Ainabkoi/Olare,"Plot 152, Lane 9, Lavington"
112,Kiprop Mukhwana Kipsang,97112459,077873199,kiprop.kipsang@hotmail.com,2000-04-25,Male,Meru,Tigania West,Kianjai,"House 258, Argwings Kodhek Avenue, Jogoo"
113,Musyoka Namukhula,20327693,071272769,musyoka.namukhula@gmail.com,1974-04-17,Female,Bomet,Sotik,Kapletundo,"Plot 478, Lane 12, Kasarani"
114,Jebet Mutwiri Ndunda,40438156,077489967,jebet.ndunda@hotmail.com,1957-06-10,Female,Mombasa,Jomvu,Mikindani,"Plot 147, Lane 6, Kasarani"
115,Allan Gitobu,81624345,074227391,allan.gitobu@hotmail.com,1983-03-15,Female,Trans Nzoia,Endebess,Chepchoina,"House 170, Kasarani Avenue, Outering"
116,Deborah Mutisya Wanyoike,88306842,078332934,deborah.wanyoike@outlook.com,1962-02-18,Female,Kilifi,Malindi,Jilore,"Plot 100, Lane 20, River Road"
117,Victor Wadada,69391930,074271746,victor.wadada@outlook.com,1964-07-05,Male,Kilifi,Ganze,Ganze,"Plot 156, Lane 17, Karen"
118,Wambugu Kipchumba,50790697,077686448,wambugu.kipchumba@outlook.com,1997-03-09,Female,Nakuru,Gilgil,Gilgil,"Plot 92, Lane 8, Likoni"
119,Atieno Chepngeno Wambugu,57967465,072155457,atieno.wambugu@gmail.com,1998-06-02,Male,Nakuru,Naivasha,Biashara-Naivasha,"House 393, Outering Road, Ngong"
120,Judith Kipngetich,31881401,071328459,judith.kipngetich@gmail.com,1985-09-20,Female,Machakos,Yatta,Katangi,"Plot 214, Lane 3, Ruiru"
121,Chepkorir Nyaboke Juma,51262331,072320034,chepkorir.juma@gmail.com,2000-02-03,Male,Nairobi,Lang'ata,South C,"Plot 56, Lane 17, Ngong"
122,Kagwiria Kipngetich Leshan,77194013,011863944,kagwiria.leshan@yahoo.com,1968-10-25,Male,Nairobi,Dagoretti North,Kawangware,"House 462, Mombasa Road Road, Limuru"
123,Mercy Flora Kamande,28241849,077899301,mercy.kamande@gmail.com,1993-02-11,Male,Mombasa,Nyali,Mkomani,"House 352, Athi River Drive, Waiyaki"
124,Nabwire Wafula Kihika,32645646,071481377,nabwire.kihika@hotmail.com,1988-07-04,Male,Kiambu,Limuru,Limuru East,"House 388, Jogoo Drive, Jogoo"
125,Adhiambo Gathoni Ndegwa,34037816,076733952,adhiambo.ndegwa@yahoo.com,1996-02-25,Male,Nairobi,Kibra,Woodley,"House 151, Athi River Drive, Ngong"
126,Joel Timothy Mwania,75425092,011214695,joel.mwania@yahoo.com,1982-09-19,Male,Mombasa,Likoni,Shika Adabu,"Plot 201, Lane 19, Kilimani"
127,Esther Omondi Chebet,98750131,073359642,esther.chebet@gmail.com,1978-12-03,Female,Nyeri,Tetu,Aguthi/Gaaki,"Plot 276, Lane 15, Kitisuru"
128,Peace Oseko,99575241,075274721,peace.oseko@yahoo.com,1983-08-21,Male,Kilifi,Magarini,Marafa,"Plot 148, Lane 10, Karen"
129,Judy Agnes Kiprotich,52057523,073534439,judy.kiprotich@gmail.com,1975-09-06,Female,Nyeri,Nyeri Town,Kamakwa/Mukaro,"House 339, Ruaraka Drive, Karen"
130,Owuor George Kimutai,45827376,074777424,owuor.kimutai@gmail.com,1966-04-04,Female,Nairobi,Westlands,Parklands,"Plot 249, Lane 14, Athi River"
131,Mercy Owuor Keter,64627534,075804299,mercy.keter@yahoo.com,2004-12-27,Male,Nairobi,Westlands,Kitisuru,"Plot 129, Lane 3, Thika Superhighway"
132,Omondi Nyambane,25161415,075672255,omondi.nyambane@gmail.com,2000-03-12,Female,Mombasa,Kisauni,Mwakirunge,"House 431, Kitisuru Road, Lavington"
133,Ndinda Ochieng,94738725,075951703,ndinda.ochieng@outlook.com,1972-02-27,Female,Bungoma,Kimilili,Kamukuywa,"Plot 368, Lane 4, Ngong Road"
134,Nokun Kipkemboi,24875109,072361728,nokun.kipkemboi@yahoo.com,1986-03-28,Male,Uasin Gishu,Ainabkoi,Ainabkoi/Olare,"House 448, Juja Avenue, Kangundo"
135,Mwania Nekesa,32650041,070520515,mwania.nekesa@yahoo.com,1966-06-06,Female,Bomet,Sotik,Ndanai/Abosi,"House 396, Thika Superhighway Drive, Uhuru"
136,Kipkirui Gakii Wangari,41606345,079572883,kipkirui.wangari@hotmail.com,1990-08-03,Female,Nairobi,Dagoretti North,Gatina,"Plot 366, Lane 14, Karen"
137,Christopher Wamuyu,85102924,070708684,christopher.wamuyu@gmail.com,1993-06-15,Female,Nairobi,Dagoretti South,Waithaka,"Plot 134, Lane 2, Kiambu"
138,Kipkoech Njuguna Kinyua,73115555,074271499,kipkoech.kinyua@outlook.com,2005-08-02,Male,Kakamega,Ikolomani,Idakho Central,"House 434, Ruaraka Street, Ruiru"
139,Hope Namukhula Gichuru,62904575,075719014,hope.gichuru@hotmail.com,1994-01-03,Male,Mombasa,Mvita,Shimanzi,"House 305, Athi River Avenue, Jogoo"
140,Kagendo Lois Okoth,21970652,070993749,kagendo.okoth@gmail.com,1982-11-25,Female,Bomet,Chepalungu,Kongasis,"Plot 411, Lane 10, Ruaraka"
141,Alice Charity Wanyoike,72213255,010335122,alice.wanyoike@yahoo.com,1997-09-21,Female,Machakos,Machakos Town,Mua,"House 41, Athi River Drive, Uhuru"
142,Gitonga Awiti Cherono,77571186,070219470,gitonga.cherono@outlook.com,1992-07-02,Female,Nairobi,Kasarani,Kasarani,"House 388, Kiambu Road Avenue, Athi River"
143,Alexander Mwakisha,90783964,011610365,alexander.mwakisha@gmail.com,1977-12-22,Female,Bomet,Bomet Central,Singorwet,"Plot 70, Lane 4, Thika"
144,Masinde Omondi,69762583,077594392,masinde.omondi@gmail.com,1975-05-19,Male,Kilifi,Rabai,Mwawesa,"House 53, Ngong Road Drive, Mugumo"
145,Edward Stephen Ombati,70173215,011557420,edward.ombati@gmail.com,1981-06-15,Female,Kiambu,Ruiru,Kahawa Wendani,"Plot 453, Lane 13, Thika"
146,Jacqueline Otieno Kipchumba,12433447,075373477,jacqueline.kipchumba@gmail.com,2000-09-02,Female,Kilifi,Kaloleni,Mariakani,"Plot 62, Lane 16, Langata"
147,Jebiwott Mutheu Kosgei,58538289,072863729,jebiwott.kosgei@gmail.com,1982-12-28,Male,Nairobi,Kasarani,Kasarani,"House 63, Ngong Road Drive, Thika"
148,Dennis Mumo,71572793,078933206,dennis.mumo@yahoo.com,1966-01-23,Male,Kilifi,Kilifi North,Tezo,"House 206, Ngong Road Street, Kiambu Road"
149,Brenda Bett,64215650,077775156,brenda.bett@gmail.com,1990-11-15,Female,Machakos,Matungulu,Matungulu West,"Plot 44, Lane 11, Waiyaki"
150,Sarah Naliaka,57576607,071150051,sarah.naliaka@outlook.com,1966-10-24,Male,Nairobi,Dagoretti South,Ngando,"Plot 180, Lane 19, Langata"
151,Kipchumba Awino Ombati,59565830,010651818,kipchumba.ombati@gmail.com,1989-05-19,Female,Mombasa,Nyali,Kongowea,"Plot 422, Lane 17, Likoni"
152,Nabwire Jepkorir,15406577,078260751,nabwire.jepkorir@gmail.com,1984-05-16,Male,Nairobi,Dagoretti North,Kawangware,"House 480, Likoni Avenue, Kilimani"
153,Jebet Harun Mulandi,70388500,010570888,jebet.mulandi@gmail.com,1960-10-22,Female,Uasin Gishu,Ainabkoi,Kaptagat,"Plot 277, Lane 15, Ngong Road"
154,Nabwire Mwakisha,34124750,070388319,nabwire.mwakisha@outlook.com,1994-10-15,Male,Nairobi,Kibra,Sarang'ombe,"Plot 302, Lane 1, River Road"
155,Kipkorir Kipkemoi,32708438,070744324,kipkorir.kipkemoi@hotmail.com,1996-05-13,Male,Nairobi,Dagoretti North,Kileleshwa,"House 193, Kiambu Road Road, Kenyatta"
156,Kariuki Wamalwa,88674767,010206440,kariuki.wamalwa@gmail.com,1990-05-19,Male,Kakamega,Mumias East,East Wanga,"House 401, Outering Avenue, Karen"
157,Elizabeth Rono,38555376,079981521,elizabeth.rono@yahoo.com,2002-10-03,Female,Nakuru,Molo,Marioshoni,"House 144, Thika Street, Garden Estate"
158,Wangari Gladys Mwakideu,62719526,078185090,wangari.mwakideu@outlook.com,1962-01-27,Male,Kilifi,Rabai,Mwawesa,"House 424, Argwings Kodhek Drive, Tom Mboya"
