canonical_person_id,canonical_national_id,programme_count,programmes
159,91339562,2,PLUS|VOC
160,72624210,3,PLUS|SCH|VOC
163,78870570,3,PLUS|SCH|TECH
164,15662934,1,SCH
165,33392072,2,PLUS|VOC
166,88829544,2,PLUS|TECH
167,88380820,2,PLUS|VOC
168,45651567,3,SCH|TECH|VOC
169,30036175,1,PLUS
170,86178952,1,VOC
171,61793831,3,SCH|TECH|VOC
172,91181404,1,TECH
173,18958209,1,PLUS
174,83608832,3,SCH|TECH|VOC
175,16531664,1,PLUS
176,12012537,1,PLUS
177,61321020,2,SCH|TECH
178,65686049,1,PLUS
179,36512868,2,SCH|VOC
180,19655576,3,SCH|TECH|VOC
181,66913730,3,SCH|TECH|VOC
182,21928391,2,PLUS|TECH
183,35754346,1,TECH
184,56047075,2,SCH|TECH
185,63709262,2,PLUS|SCH
186,61471131,2,SCH|VOC
187,61028923,1,PLUS
188,17893691,1,TECH
189,17264306,1,SCH
191,23346779,3,SCH|TECH|VOC
192,77934076,1,SCH
195,30869686,1,VOC
196,84378065,3,PLUS|SCH|VOC
197,55360034,1,TECH
198,81014138,1,TECH
200,35079956,1,SCH
201,18234220,2,SCH|VOC
202,89042306,1,PLUS
203,68535809,1,VOC
204,44740194,2,PLUS|SCH
206,34213769,1,VOC
207,24272571,1,PLUS
208,40317689,2,PLUS|SCH
209,10292428,2,PLUS|SCH
212,77551168,1,TECH
213,96791517,2,PLUS|TECH
214,57759672,1,TECH
215,62027391,3,PLUS|TECH|VOC
216,97280725,1,PLUS
217,99811868,1,SCH
218,58518736,2,PLUS|TECH
219,31567333,2,SCH|VOC
221,68719406,4,PLUS|SCH|TECH|VOC
223,79427754,1,SCH
224,60748656,1,TECH
225,95033882,1,TECH
226,22343983,4,PLUS|SCH|TECH|VOC
227,70317901,2,PLUS|VOC
228,61753132,3,SCH|TECH|VOC
229,87277029,1,TECH
230,28620619,1,TECH
233,17134621,3,PLUS|TECH|VOC
234,76460815,2,TECH|VOC
236,29850853,1,PLUS
237,48709538,1,PLUS
238,77376391,1,TECH
239,21488759,1,SCH
240,72117013,4,PLUS|SCH|TECH|VOC
241,79769403,2,SCH|VOC
242,62504528,1,SCH
243,85584413,2,SCH|TECH
244,41758221,2,PLUS|VOC
245,37318624,1,TECH
246,43739900,3,SCH|TECH|VOC
247,65866810,1,SCH
248,57216333,3,PLUS|TECH|VOC
249,39566459,3,SCH|TECH|VOC
250,46278860,2,PLUS|SCH
252,69566993,2,PLUS|TECH
253,40595256,1,VOC
254,31516822,1,VOC
255,58582114,1,SCH
256,29917719,2,SCH|TECH
257,70249712,2,PLUS|VOC
258,29219517,1,TECH
260,52253072,1,VOC
262,75655873,2,PLUS|SCH
263,12673605,1,SCH
264,13254023,3,PLUS|TECH|VOC
265,60543809,2,SCH|VOC
266,89646079,3,PLUS|TECH|VOC
267,31755769,1,SCH
268,28164926,1,SCH
269,98498817,2,SCH|VOC
270,25743269,1,TECH
271,36284674,1,PLUS
272,17522634,2,TECH|VOC
273,33215400,1,VOC
274,33891297,1,SCH
275,84036002,1,SCH
276,12919231,3,SCH|TECH|VOC
277,22133101,2,SCH|TECH
278,62019290,1,TECH
280,44715287,1,TECH
281,43866730,3,SCH|TECH|VOC
282,91786040,2,PLUS|SCH
283,46598410,2,PLUS|VOC
284,76971243,1,SCH
286,54836082,3,PLUS|TECH|VOC
287,33516421,1,VOC
288,18024377,3,PLUS|SCH|TECH
290,79366132,1,TECH
291,95716350,1,SCH
292,40546109,3,SCH|TECH|VOC
293,54109233,1,TECH
294,52951801,3,PLUS|SCH|TECH
296,16174008,2,SCH|VOC
297,98676416,2,PLUS|VOC
298,14306243,1,PLUS
299,10852813,1,PLUS
300,41269891,1,SCH
301,78036333,2,TECH|VOC
302,38162314,1,PLUS
303,80491768,1,TECH
304,47889634,2,SCH|TECH
305,87470671,2,SCH|VOC
306,84262472,4,PLUS|SCH|TECH|VOC
308,53952205,1,VOC
309,66596142,1,SCH
310,58412445,1,VOC
311,53555317,1,TECH
312,31369793,1,SCH
313,13537870,3,SCH|TECH|VOC
314,43137733,1,TECH
315,86471037,2,SCH|TECH
316,76434426,3,PLUS|SCH|TECH
317,84776506,1,SCH
318,26144121,3,PLUS|TECH|VOC
319,81393856,2,TECH|VOC
320,61660590,1,SCH
321,16007154,2,TECH|VOC
322,32463582,1,SCH
323,69327432,2,PLUS|SCH
324,90753445,1,VOC
325,61911006,3,SCH|TECH|VOC
327,13199132,1,SCH
328,88309134,2,PLUS|VOC
329,58638387,2,PLUS|VOC
331,45109738,2,PLUS|SCH
332,36779296,1,TECH
333,40563463,4,PLUS|SCH|TECH|VOC
334,59720070,1,VOC
336,94759650,2,TECH|VOC
337,41812000,1,VOC
338,91170992,3,PLUS|SCH|TECH
339,71195665,4,PLUS|SCH|TECH|VOC
340,28778595,2,SCH|VOC
341,30485751,2,SCH|VOC
343,54819596,1,PLUS
344,66796333,2,TECH|VOC
345,72505408,4,PLUS|SCH|TECH|VOC
347,25016273,2,SCH|VOC
348,42458322,1,TECH
349,44330502,1,SCH
350,89648700,2,PLUS|VOC
351,34518599,1,TECH
353,74476742,1,SCH
354,27089453,1,VOC
355,72992151,1,TECH
357,71036929,2,SCH|VOC
358,48143081,1,SCH
359,68410653,2,SCH|VOC
361,90410541,1,PLUS
362,41708297,1,VOC
363,59283521,2,TECH|VOC
364,65353136,1,TECH
365,97702160,1,TECH
367,67299090,2,PLUS|VOC
368,54044033,1,PLUS
370,14386856,2,PLUS|TECH
371,79107561,1,VOC
372,52943014,2,SCH|TECH
373,66686642,2,TECH|VOC
375,40799334,1,VOC
376,20694051,2,SCH|VOC
377,81751708,1,VOC
378,88699165,2,SCH|TECH
379,55728427,1,SCH
380,80458179,2,SCH|TECH
381,88960861,2,SCH|TECH
382,62135687,2,PLUS|TECH
383,47117787,2,PLUS|SCH
384,72220991,2,SCH|TECH
385,61617675,4,PLUS|SCH|TECH|VOC
386,67022224,2,PLUS|TECH
387,81803895,2,PLUS|VOC
388,54391723,1,VOC
389,37402375,2,PLUS|TECH
390,86140861,2,TECH|VOC
392,32135715,1,TECH
393,48785862,2,PLUS|TECH
394,87420166,2,PLUS|TECH
395,80910084,2,PLUS|TECH
396,15679986,1,SCH
397,49107858,1,SCH
398,14665068,1,SCH
399,65768929,2,PLUS|SCH
400,55324613,2,TECH|VOC
401,61846177,3,PLUS|SCH|VOC
402,70053039,2,PLUS|TECH
403,64070291,1,TECH
404,49517947,2,PLUS|VOC
405,25811556,1,TECH
406,42292892,3,PLUS|SCH|TECH
407,19819744,1,SCH
408,93938382,1,TECH
409,20548786,2,PLUS|TECH
410,67869281,3,SCH|TECH|VOC
412,34219451,2,PLUS|SCH
413,12169801,2,SCH|VOC
414,74102579,1,VOC
415,41874244,2,PLUS|VOC
417,62508567,1,VOC
418,38210669,1,PLUS
419,91211357,2,SCH|TECH
421,37392666,2,PLUS|VOC
422,82929177,1,VOC
423,44942332,1,VOC
424,39161475,1,VOC
425,76183001,3,PLUS|TECH|VOC
426,79651607,3,SCH|TECH|VOC
427,41713949,3,PLUS|SCH|VOC
428,25457874,2,PLUS|SCH
429,36568577,2,PLUS|TECH
430,59221290,2,TECH|VOC
433,84335596,1,VOC
434,16415390,2,SCH|VOC
435,62831328,2,TECH|VOC
436,52502178,2,SCH|TECH
437,43318451,1,PLUS
439,41291228,3,PLUS|TECH|VOC
440,87657839,1,TECH
441,45545064,2,PLUS|SCH
442,69750285,2,PLUS|SCH
443,50545587,3,PLUS|TECH|VOC
444,24037331,1,SCH
445,15971136,3,PLUS|SCH|VOC
446,46771858,1,PLUS
447,95031405,2,PLUS|SCH
448,22388317,3,PLUS|SCH|TECH
449,32095445,1,PLUS
450,36415300,1,TECH
451,14456047,2,PLUS|VOC
452,58537393,3,PLUS|SCH|VOC
453,44063535,1,TECH
454,25699847,1,TECH
455,16357179,1,SCH
456,99716761,3,PLUS|SCH|TECH
457,93460620,1,VOC
459,31839746,3,PLUS|TECH|VOC
460,55925432,2,PLUS|VOC
462,51910609,3,SCH|TECH|VOC
463,39766678,1,PLUS
465,62063088,2,SCH|TECH
466,16814758,1,SCH
467,37281556,1,VOC
468,87525372,2,PLUS|SCH
469,31566119,1,TECH
470,82613651,1,VOC
471,34049258,1,SCH
472,25041051,2,PLUS|SCH
473,28535751,1,TECH
475,27719312,1,TECH
476,59243476,3,PLUS|TECH|VOC
477,32451247,1,PLUS
478,42134668,1,PLUS
479,46004061,1,SCH
480,53365278,3,PLUS|TECH|VOC
481,40333941,3,SCH|TECH|VOC
482,31958106,2,PLUS|TECH
483,14881035,1,PLUS
485,14665196,1,PLUS
486,74220011,3,PLUS|TECH|VOC
487,42835306,2,PLUS|TECH
488,73906952,1,SCH
489,31246090,2,PLUS|SCH
490,71791460,1,PLUS
491,46545801,2,PLUS|TECH
492,39607195,2,TECH|VOC
493,52146187,1,SCH
494,46190360,1,TECH
495,56673900,2,PLUS|SCH
496,62560511,2,SCH|TECH
497,14494343,1,TECH
498,50546917,1,TECH
500,27691237,2,PLUS|VOC
503,12880851,2,SCH|TECH
504,52039919,1,TECH
505,25706912,2,SCH|VOC
507,17850078,2,PLUS|SCH
508,29438830,2,PLUS|SCH
510,40486002,1,SCH
511,30448683,2,PLUS|SCH
512,25673796,1,VOC
513,31811407,1,VOC
514,35976666,1,VOC
515,48906764,2,TECH|VOC
516,56293495,1,TECH
517,26492036,1,VOC
519,89984645,4,PLUS|SCH|TECH|VOC
520,53982040,1,TECH
521,14918680,2,SCH|TECH
524,79350676,1,TECH
525,20999047,1,TECH
526,87368164,2,PLUS|SCH
527,26355844,1,SCH
528,81260169,2,SCH|VOC
529,25527671,1,VOC
530,71985395,2,SCH|TECH
531,89453898,2,PLUS|VOC
532,14713027,2,PLUS|TECH
533,32395401,1,PLUS
534,29353979,1,VOC
535,23316648,2,SCH|TECH
536,13489239,1,SCH
537,42867023,2,PLUS|VOC
539,78946993,1,SCH
540,47393393,2,TECH|VOC
541,64130831,2,PLUS|SCH
542,50292372,1,VOC
544,22294633,1,SCH
546,36911168,4,PLUS|SCH|TECH|VOC
547,77004252,1,SCH
548,93403051,1,PLUS
549,83508869,4,PLUS|SCH|TECH|VOC
550,88753507,1,PLUS
551,80852543,2,TECH|VOC
552,24087799,1,VOC
553,90362099,2,TECH|VOC
554,83691032,2,PLUS|VOC
555,43005188,2,PLUS|SCH
556,67054128,2,SCH|TECH
557,75845066,2,PLUS|TECH
558,68402385,3,PLUS|SCH|VOC
559,50495382,2,SCH|VOC
560,73872605,2,PLUS|VOC
561,90018084,1,SCH
562,33630872,2,PLUS|TECH
563,65459928,2,PLUS|SCH
564,60564531,2,SCH|TECH
565,62025032,1,PLUS
566,65402833,1,VOC
567,97506740,1,TECH
568,46167085,3,PLUS|SCH|VOC
569,23125005,1,VOC
570,24212949,1,PLUS
571,10996386,1,PLUS
572,53035439,1,TECH
573,50248639,3,SCH|TECH|VOC
574,74050584,1,TECH
575,17367600,2,TECH|VOC
576,23306584,2,SCH|VOC
577,35338379,2,SCH|VOC
579,71151032,1,VOC
580,51347842,1,TECH
581,34566728,2,SCH|TECH
582,53305731,3,PLUS|SCH|TECH
583,66194219,2,TECH|VOC
584,18524087,3,PLUS|TECH|VOC
585,16953155,1,PLUS
587,84822264,1,VOC
589,63701561,2,SCH|VOC
590,99466466,1,TECH
591,68227454,3,PLUS|TECH|VOC
592,85701885,3,SCH|TECH|VOC
593,75025705,3,PLUS|TECH|VOC
594,96161779,1,VOC
595,93485270,1,TECH
596,73245675,3,SCH|TECH|VOC
598,83012855,2,PLUS|SCH
599,17170147,3,PLUS|SCH|TECH
600,24957006,2,SCH|VOC
601,42733135,2,PLUS|TECH
602,63180637,1,TECH
605,12152239,3,SCH|TECH|VOC
606,17598656,2,SCH|TECH
607,71740969,1,SCH
608,64341068,1,TECH
609,40595359,1,TECH
610,48164274,3,PLUS|SCH|VOC
611,50833796,2,PLUS|SCH
612,95133330,1,TECH
613,98830506,2,PLUS|VOC
614,50827124,1,PLUS
615,87169073,1,PLUS
616,70346785,1,TECH
617,44452054,1,TECH
618,16069615,1,SCH
619,72282219,2,SCH|TECH
622,58561828,2,PLUS|SCH
624,12267498,2,PLUS|TECH
625,62025775,2,TECH|VOC
626,39262205,1,TECH
627,16606138,2,SCH|TECH
629,60042850,2,TECH|VOC
630,20324372,2,PLUS|TECH
631,88536501,3,PLUS|SCH|VOC
632,22587924,2,PLUS|TECH
633,57876025,1,PLUS
634,81933142,1,SCH
635,67032586,1,TECH
636,66806940,1,SCH
637,22863109,2,SCH|VOC
638,20136881,2,SCH|TECH
639,67720123,2,SCH|VOC
640,95843097,3,SCH|TECH|VOC
641,62111008,2,TECH|VOC
642,77121355,2,SCH|VOC
645,47775156,1,VOC
646,19711151,2,PLUS|SCH
647,28150476,2,PLUS|SCH
648,42056846,2,SCH|TECH
649,55249515,1,SCH
650,49761155,3,PLUS|SCH|VOC
651,65277579,4,PLUS|SCH|TECH|VOC
652,14288227,1,VOC
654,72365495,3,PLUS|SCH|TECH
655,82910006,1,PLUS
656,95919174,1,TECH
658,62654955,1,PLUS
659,50543196,1,PLUS
660,47684709,2,PLUS|SCH
661,36281402,1,SCH
662,62451159,2,PLUS|VOC
663,70875238,2,PLUS|SCH
664,46881809,2,PLUS|VOC
666,50421249,1,VOC
667,30946019,4,PLUS|SCH|TECH|VOC
668,66755255,2,SCH|VOC
669,60224330,1,VOC
670,46834775,3,PLUS|SCH|TECH
671,79250561,1,PLUS
672,83206688,2,PLUS|SCH
673,37448673,1,PLUS
675,56814976,3,SCH|TECH|VOC
676,60984196,4,PLUS|SCH|TECH|VOC
678,61987708,2,PLUS|TECH
679,60598783,1,VOC
680,51570260,2,PLUS|SCH
681,71587674,3,PLUS|TECH|VOC
682,57778592,1,TECH
683,11502307,4,PLUS|SCH|TECH|VOC
684,13306687,4,PLUS|SCH|TECH|VOC
685,80176141,1,SCH
687,76577067,2,PLUS|SCH
689,11099317,3,PLUS|TECH|VOC
691,80272722,1,VOC
692,65798756,2,PLUS|SCH
693,41523901,1,PLUS
694,84219322,1,PLUS
695,31043077,1,PLUS
697,95624361,2,SCH|VOC
698,23439045,2,TECH|VOC
699,51105057,2,PLUS|TECH
701,36252609,2,PLUS|SCH
702,25125619,2,SCH|TECH
703,29457121,1,SCH
704,97510445,1,SCH
705,64543706,1,TECH
706,77053980,1,TECH
707,55868421,1,PLUS
708,26309371,2,SCH|VOC
709,92044472,1,TECH
710,46288827,2,SCH|TECH
711,22195202,1,VOC
713,33847090,2,SCH|VOC
714,12913715,1,PLUS
715,71113260,4,PLUS|SCH|TECH|VOC
717,33883732,1,SCH
718,78739465,1,TECH
719,38941630,1,TECH
720,28240842,1,VOC
721,47767869,2,PLUS|VOC
722,56091075,2,PLUS|SCH
724,12251618,2,PLUS|TECH
725,42700268,1,TECH
727,93326883,2,SCH|VOC
728,35929785,1,VOC
731,31193066,1,TECH
732,33287112,1,TECH
733,19941358,1,TECH
734,44845000,3,PLUS|SCH|TECH
736,87112395,2,PLUS|TECH
737,57726845,1,VOC
738,38852315,1,PLUS
739,65945823,1,VOC
740,97108374,2,PLUS|VOC
741,30559033,2,SCH|TECH
742,38218853,1,TECH
743,72054715,2,PLUS|SCH
744,81995285,1,TECH
745,95040154,1,VOC
746,14192932,1,TECH
748,52097153,2,PLUS|SCH
749,67601447,3,PLUS|SCH|TECH
750,52550453,2,SCH|VOC
751,19999329,1,PLUS
752,18815479,2,PLUS|TECH
753,40962820,2,SCH|TECH
754,18990534,2,SCH|TECH
755,21336167,1,PLUS
756,13600484,1,VOC
757,98054220,1,VOC
758,61944504,2,PLUS|VOC
759,49734257,2,PLUS|VOC
760,97812550,1,SCH
761,38947425,1,SCH
762,44065587,2,SCH|TECH
763,32653778,4,PLUS|SCH|TECH|VOC
766,11404682,2,SCH|VOC
769,58573820,2,PLUS|TECH
770,64427645,2,PLUS|TECH
771,11546923,1,TECH
772,64047337,3,PLUS|TECH|VOC
773,18209448,1,SCH
774,16774455,1,TECH
775,17266411,1,PLUS
776,19178028,3,SCH|TECH|VOC
777,51964629,1,PLUS
778,62444122,1,PLUS
779,48974564,1,TECH
780,60857535,3,PLUS|TECH|VOC
782,99363234,1,SCH
783,47309803,3,PLUS|TECH|VOC
784,70613787,2,TECH|VOC
785,62466791,1,VOC
786,26345515,1,TECH
787,79211878,2,PLUS|SCH
788,57471125,1,VOC
789,12271149,1,VOC
790,63687857,1,TECH
792,58344299,1,PLUS
793,74312089,1,TECH
794,88845927,1,TECH
795,97033089,3,PLUS|SCH|TECH
796,85253501,2,TECH|VOC
799,52582456,3,PLUS|SCH|TECH
800,19725451,1,VOC
801,29920279,1,SCH
802,95453300,1,VOC
803,12458919,2,SCH|VOC
804,87083341,2,SCH|VOC
805,83362808,1,PLUS
806,31829800,3,SCH|TECH|VOC
807,84110101,1,VOC
808,69715793,2,PLUS|TECH
809,18158813,1,PLUS
810,85272184,1,PLUS
811,48226449,2,TECH|VOC
812,39270317,2,TECH|VOC
813,54698618,2,SCH|VOC
814,52139442,1,PLUS
815,23873812,1,TECH
817,67937221,2,PLUS|SCH
818,40109240,1,SCH
819,49075648,2,PLUS|VOC
820,91335378,3,PLUS|TECH|VOC
821,66941236,1,PLUS
822,10370853,1,SCH
824,99068383,1,SCH
825,86964296,2,PLUS|TECH
826,57712356,2,PLUS|TECH
827,99390140,2,TECH|VOC
828,47586447,1,PLUS
829,44625815,3,PLUS|SCH|TECH
830,64643199,1,PLUS
831,76042903,2,PLUS|VOC
832,20724650,2,PLUS|VOC
833,32493148,1,PLUS
834,99367274,2,TECH|VOC
835,13039386,1,VOC
836,47384667,2,SCH|VOC
837,89811209,3,PLUS|SCH|TECH
838,12842173,1,VOC
840,93612431,3,PLUS|SCH|VOC
841,88248208,1,SCH
842,76245685,2,TECH|VOC
843,62687851,3,SCH|TECH|VOC
844,45365918,2,SCH|TECH
845,68987671,1,TECH
846,85085833,1,SCH
847,87323948,1,TECH
848,45668220,2,PLUS|VOC
849,61165027,1,SCH
851,17429594,1,VOC
852,89714295,1,PLUS
853,83927501,4,PLUS|SCH|TECH|VOC
854,95510088,4,PLUS|SCH|TECH|VOC
855,80422146,2,TECH|VOC
856,55161836,2,SCH|TECH
857,29918252,1,PLUS
858,86589871,2,SCH|VOC
860,63648445,1,SCH
861,34996513,1,PLUS
862,21071555,3,SCH|TECH|VOC
864,27148566,1,VOC
865,42482494,3,PLUS|TECH|VOC
866,37383624,2,SCH|VOC
869,41727657,2,TECH|VOC
870,62194039,1,SCH
871,41908888,2,TECH|VOC
872,35907091,1,VOC
874,19803499,3,SCH|TECH|VOC
875,18519119,3,PLUS|TECH|VOC
876,31914709,1,PLUS
877,11550868,1,VOC
879,82496804,2,PLUS|VOC
880,14542798,2,SCH|TECH
881,27028924,2,PLUS|VOC
882,29766571,2,TECH|VOC
883,81563076,1,SCH
884,60850210,3,PLUS|TECH|VOC
885,39510147,2,SCH|VOC
887,88298796,2,SCH|TECH
888,10500877,1,PLUS
889,63296865,2,SCH|VOC
890,40269419,1,VOC
891,86229768,1,VOC
893,88387626,1,SCH
894,34546715,3,PLUS|SCH|VOC
897,15757856,1,PLUS
898,45766054,1,TECH
899,45214814,3,PLUS|TECH|VOC
900,18115148,2,SCH|TECH
901,64286033,2,PLUS|SCH
902,92455201,1,TECH
903,17259175,1,VOC
906,26634072,2,PLUS|TECH
907,59427999,2,SCH|VOC
908,54417200,1,SCH
909,75876620,1,TECH
910,98318907,1,SCH
912,41858513,1,TECH
913,68379988,2,TECH|VOC
914,39155667,1,VOC
915,28437610,1,TECH
916,63096404,3,PLUS|SCH|VOC
917,94768182,1,TECH
918,10209894,2,PLUS|SCH
919,36003419,3,SCH|TECH|VOC
921,68602595,1,TECH
922,69372702,4,PLUS|SCH|TECH|VOC
923,62526204,1,TECH
924,40061384,2,PLUS|SCH
925,75515175,2,PLUS|SCH
926,34466254,1,TECH
927,56268308,1,SCH
928,37467964,2,TECH|VOC
929,60172721,2,TECH|VOC
930,38573279,1,TECH
931,40971850,3,PLUS|TECH|VOC
932,19222054,1,SCH
933,40578723,2,SCH|VOC
934,38204138,1,SCH
936,21463219,3,PLUS|TECH|VOC
937,52881821,2,SCH|VOC
939,90511561,3,PLUS|TECH|VOC
940,43795754,1,VOC
941,77002394,3,PLUS|TECH|VOC
942,41398029,1,TECH
943,20854852,2,PLUS|TECH
944,47299640,3,SCH|TECH|VOC
945,91256248,1,VOC
947,30544162,1,TECH
948,18904455,1,VOC
949,59803545,1,VOC
950,14109890,2,PLUS|VOC
952,88895533,1,VOC
954,98504112,3,SCH|TECH|VOC
956,25239435,1,VOC
957,99667571,1,VOC
959,85899286,2,PLUS|VOC
960,13269183,2,SCH|TECH
961,88448668,2,SCH|TECH
962,98415591,1,TECH
963,12135165,2,PLUS|TECH
964,87640642,2,PLUS|SCH
965,16944370,1,SCH
966,26272372,2,PLUS|VOC
967,32723062,2,PLUS|SCH
968,67612764,2,PLUS|SCH
969,85127595,1,PLUS
970,47411802,1,SCH
971,39605202,1,VOC
972,10112761,1,SCH
973,23329586,1,SCH
974,68670156,4,PLUS|SCH|TECH|VOC
975,38403396,1,TECH
976,99571805,3,PLUS|SCH|VOC
977,29024449,1,PLUS
978,86057239,1,SCH
979,38336171,2,TECH|VOC
980,90900715,1,TECH
981,98638560,3,PLUS|TECH|VOC
982,61440401,3,PLUS|SCH|VOC
983,95852507,1,TECH
984,55305628,1,VOC
986,90267569,3,PLUS|TECH|VOC
987,69866120,2,PLUS|VOC
988,42390660,3,SCH|TECH|VOC
989,11692090,2,SCH|VOC
990,63217173,2,SCH|TECH
991,84758190,1,VOC
992,77854979,1,VOC
993,42341555,1,VOC
994,40809400,1,SCH
995,34210268,1,VOC
996,75224158,1,VOC
997,70692728,2,PLUS|TECH
998,61590666,3,SCH|TECH|VOC
1000,77350535,2,PLUS|VOC
1001,42530972,1,VOC
1002,46663600,2,PLUS|VOC
1003,72373944,2,TECH|VOC
1004,53298009,3,PLUS|SCH|TECH
1005,80935218,1,SCH
1006,42996518,3,SCH|TECH|VOC
1007,21281365,1,SCH
1008,53380330,1,TECH
1009,13450881,1,TECH
1010,90224792,2,PLUS|TECH
1011,45470187,1,SCH
1012,53225813,3,PLUS|SCH|VOC
1013,23875009,1,VOC
1014,60961074,1,SCH
1015,43823840,2,SCH|VOC
1016,99224381,1,SCH
1017,57535503,2,PLUS|TECH
1019,71222108,3,PLUS|SCH|VOC
1020,19372830,1,TECH
1021,87698494,1,TECH
1022,49353426,2,SCH|TECH
1023,92686915,1,TECH
1024,56982946,1,SCH
1025,50468810,3,PLUS|TECH|VOC
1026,67667535,1,VOC
1027,10580409,1,VOC
1028,93260858,1,VOC
1029,82483315,1,TECH
1030,31255444,2,SCH|VOC
1031,43490657,2,SCH|TECH
1032,21394849,1,VOC
1033,14558338,1,VOC
1034,68833120,2,PLUS|SCH
1035,87753029,1,PLUS
1036,54361087,2,SCH|TECH
1037,41110667,3,SCH|TECH|VOC
1038,36349479,1,VOC
1042,25099746,1,VOC
1043,33820621,2,SCH|TECH
1044,32305372,1,TECH
1045,35395354,2,PLUS|TECH
1046,56594543,2,SCH|TECH
1047,50004437,2,PLUS|TECH
1048,11916830,2,TECH|VOC
1049,10357092,3,SCH|TECH|VOC
1050,95121229,2,PLUS|VOC
