beneficiary_id,full_name,identification_number,telephone,email,date_of_birth,gender,county,sub_county,ward,address,registration_date,status,tech_track,cohort,mentor,project_area,completion_status
TECH-000043,charity joshua muriuki,76161613,+254 717-752-06,charity.muriuki@outlook.com,1966-09-25,female,Kakamega,Lugari,Manda/Shivanga,"Plot 297, Lane 20, Athi River",09-Jan-2024,I,Software Engineering,Cohort 1,Prof. Moses Muthoka,IoT,Active
TECH-000044,wamalwa gitonga,80019294,+254 763-796-78,wamalwa.gitonga@yahoo.com,1975-07-19,male,Trans Nzoia,Kiminini,Hospital,"House 200, Likoni Drive, Ngong",08-11-2026,I,DevOps,Cohort 2,Prof. Daniel Mutisya,Clean Energy,Active
TECH-000045,chepkirui kagwe, 62346547,+254 703-187-93,chepkirui.kagwe@hotmail.com,2006-08-07,male,NULL,Malindi,Ganda,"House 459, Kasarani Road, Argwings Kodhek",24/11/2026,A,NA,NULL,Eng. Amos Nduku,Clean Energy,Active
TECH-000046,ondieki mwooroa,1288-0851,+254 759-987-92,ondieki.mworoa@gmail.com,1992-07-22,male,Nakuru,Kuresoi South,Tinet,"House 379, Ngong Street, Ngong",21-Jun-25,I,Software Engineering,Cohort 1,Prof. James Mwangi,IoT,On Hold
TECH-000047,AARON LANGAT,40930568,+254 766-248-67,aaron.langat@gmail.com,1995-05-22,female,Nakuru,Kuresoi South,Amalo,"House 477, Kitisuru Street, River Road",07-Nov-2026,I,Cybersecurity,Cohort 3,Eng. Micah Kioko,AgriTech,Active
TECH-000048,DOROTHY OGERO,32417070,+254 719-638-62,dorothy.ogero@gmail.com,1966-09-20,male,KISUMU,SEME,CENTRAL SEME,"House 184, Ngong Road Street, Ruaraka",2025-01-31,A,Software Engineering,Cohort 2,Prof. Kevin Muriuki,Fintech,Active
TECH-000049,SIMON MWAURA,67430990,+254 776-056-42,simon.mwaura@outlook.com,1982-12-03,female,Uasin Gishu,Turbo,Tapsagoi,"Plot 154, Lane 4, Langata",16-Mar-2026,I,Cloud Computing,Cohort 1,Eng. Isaac Mutua,Clean Energy,Withdrawn
TECH-000050,KIPNGETICH WAFULA,38710184,+254 767-132-64,kipngetich.wafula@gmail.com,2004-08-07,female,Mombasa,Changamwe,Miritini,"Plot 322, Lane 14, Mombasa Road",28/02/2025,A,DevOps,Cohort 2,Dr. Harun Mwikali,EdTech,On Hold
TECH-000051,JEBIWOTT NJOOROGE,57535503,+254 721-235-11,jnjoroge@gmail.com,03-07-1985,FEMALE,Machakos,Mavoko,Athi River,"Plot 424, Lane 2, Garden Estate",26-07-2026,inactive,Data Engineering,Cohort  1,Eng. Gilbert Mutisya,Fintech,Completed
TECH-000052,judy mungai,12135165,+254 751-068-67,judy.mungai@hotmail.com,1988-09-23,male,Uasin Gishu,Soy,Segero/Barsombe,"Plot 301, Lane 17, Ngong Road",02-03-2025,A,Cloud Computing,Cohort 3,Dr. Aaron Nduku,EdTech,Completed
TECH-000053,ANYANGO OCHIENG,44612609,+254 785-357-77,anyango.ochieng@hotmail.com,1998-05-20,female,Nakuru,Molo,Turi,"Plot 388, Lane 15, Moi Avenue",11/07/2025,A,Cloud Computing,Cohort 3,Dr. Joy Kaloki,AgriTech,Withdrawn
TECH-000054,ezekiel mogak,24320131,+254 702-735-75,ezekiel.mogaka@hotmail.com,1969-12-05,male,Kakamega,Shinyalu,Isukha Central,"House 315, Ngong Road Road, Uhuru",25/01/2024,A,Data Engineering,Cohort 1,Eng. Ezekiel Mumo,E-Commerce,Active
TECH-000055,OJWANG OTNSONGO,48003458,+254 741-612-95,ojwang.onsongo@gmail.com,1988-02-13,male,Kilifi,Magarini,Magarini,"House 318, Uhuru Drive, Likoni",01/15/2025,I,Mobile Development,Cohort 3,Dr. Lucy Otieno,E-Commerce,Completed
TECH-000056,joshua nicholas ndegwa,97506740,+254 114-474-82,joshua.ndegwa@gmail.com,08 Dec 1952,M,TURKANA,TURKANA CENTRAL,KALOKOL,"Plot 438, Lane 17, Langata",06-Feb-2025,inactive,Mobile Development,cohort 1,Prof. James Mwangi,Fintech,Withdrawn
TECH-000057,beatrice njugunra,13254023,+254 737-622-33,beatrice.njuguna@outlook.com,1985-02-27,female,Bungoma,Webuye West,Matulo,"House 331, Thika Road, Ruaraka",28/04/2024,I,Software Engineering,Cohort 2,Dr. Joy Kaloki,Clean Energy,Completed
TECH-000058,gilbert mutheu mworoa,71596905,+254 712-078-19,gilbert.mworoa@gmail.com,1990-12-18,female,Nakuru,Molo,Marioshoni,"House 432, Westlands Road, Kangundo",05 Apr 2024,I,Data Engineering,Cohort 3,Dr. Joy Kaloki,Fintech,On Hold
TECH-000059,muthaa jebet,60968846,+254 728-567-22,muthaa.jebet@gmail.com,1996-03-09,male,Kilifi,Kilifi South,,"Plot 58, Lane 10, Ruiru",,NULL,DevOps,Cohort 3,Eng. Micah Kioko,AgriTech,Completed
TECH-000060,KILONZO OMONDI,20548786,+254 792-713-19,kilonzo.omondi@gmail.com,1999-04-27,male,Mombasa,Mvita,Tononoka,"Plot 254, Lane 12, Athi River",21-Aug-26,I,Cybersecurity,Cohort 3,Dr. Collins Mwania,Fintech,Completed
TECH-000061,odhiambo korir,99635309,+254 768-874-88,odhiambo.korir@hotmail.com,1986-02-07,female,MACHAKOS,KATHIANI,MITABONI,"House 18, Kiambu Drive, Argwings Kodhek",07/10/2026,A,Mobile Development,Cohort 3,Prof. Victor Kioko,Fintech,Withdrawn
TECH-000062,MWAURA SILAS,99582601,,silas.mwaura@hotmail.com,2002-07-03,female,Nakuru,Kuresoi North,NA,NULL,16/08/2024,A,Software Engineering,Cohort 1,Prof. Moses Muthoka,Clean Energy,Withdrawn
TECH-000063,rweria wekesa mwango,67869281,+254 743-985-93,rweria.mwango@hotmail.com,1984-05-27,female,Nairobi,Lang'ata,Nyayo Highrise,"Plot 464, Lane 16, Kiambu",17/12/2026,A,Mobile Development,Cohort 1,Eng. Amos Nduku,IoT,On Hold
TECH-000064,brenda gilbert gitobu,20999047,+254 771-150-87,brenda.gitobu@hotmail.com,1974-05-11,female,Kilifi,Magarini,Gongoni,"House 255, Karen Street, Uhuru",2025-11-25,A,Mobile Development,Cohort 3,Prof. Esther Ondieki,HealthTech,Completed
TECH-000065,GATHONI BETT,71524281,+254 725-897-39,gathoni.bett@gmail.com,2003-05-21,male,Machakos,Machakos Town,Mutituni,"Plot 406, Lane 20, Parklands",17-01-2024,I,Mobile Development,Cohort 1,Eng. Peter Ochieng,Logistics,Completed
TECH-000066,jebiwott wanjala,78690258,+254 735-643-81,jebiwott.wanjala@outlook.com,1955-08-04,female,Trans Nzoia,Kwanza,Kapomboi,"House 124, Langata Street, Outering",2024-07-07,A,Mobile Development,Cohort 3,Dr. Jonah Kasina,Logistics,On Hold
TECH-000067,owuor george kimutai,45827376,+254 747-774-24,owuor.kimutai@gmail.com,1966-04-04,female,Nairobi,Westlands,Parklands,"Plot 249, Lane 14, Athi River",11-Jan-2025,I,Software Engineering,Cohort 3,Prof. Isaiah Kasina,Fintech,Active
TECH-000068,GAKII KOROSS,38218853,+254 109-759-22,NA,1964-08-22,female,Mombasa,Kisauni,Mtopanga,"House 437, Mombasa Road Avenue, Waiyaki",2026-02-24,A,Data Engineering,Cohort 2,Prof. Esther Ondieki,Fintech,Active
TECH-000069,mutisya mbaka mutua,45160395,+254 106-587-37,mutisya.mutua@yahoo.com,1985-06-18,female,NULL,Saboti,Tuwani,"Plot 103, Lane 5, Ngong Road",25-Nov-24,A,AI/ML,Cohort 3,Dr. Grace Wanjiku,Fintech,Active
TECH-000070,nabwire rimberia,34566728,254 112 923 19,nabwire.rimberia@gmail.com,1969-10-21,female,Nakuru,Nakuru Town West,Rhoda,"Plot 232, Lane 17, Outering",08-01-2026,A,Cloud Computing,Cohort 2,Prof. Robert Kamau,Clean Energy,On Hold
TECH-000071,VERONICA OKOTH MUMO, 73245675,+254 101-357-73,veronica.mumo@hotmail.com,1991-06-03,male,Mombasa,Jomvu,Mikindani,"Plot 304, Lane 9, Kasarani",2024-06-12,A,Data Science,Cohort 3,Eng. John Wekesa,IoT,On Hold
TECH-000072,alexander odhiambo,50 248 639,+254 772-804-63,alexander.odhiambo@yahoo.com,1997-03-21,female,Nairobi,Dagoretti North,Kawangware,"Plot 45, Lane 19, Jogoo",22/09/2024,A,Mobile Development,Cohort 2,Prof. James Mwangi,E-Commerce,Withdrawn
TECH-000073,wachira mwirigi muthoka,67561766,+254 776-890-83,wachira.muthoka@gmail.com,1984-04-18,male,Nairobi,Lang'ata,Nyayo Highrise,"Plot 280, Lane 2, Kenyatta",2025-01-11,A,Software Engineering,Cohort 1,Eng. Martin Kasina,E-Commerce,Completed
TECH-000074,MARTIN ATIEN,78887438,+254 747-061-28,martin.atieno@yahoo.com,1982-06-27,female,Trans Nzoia,Kwanza,Kapomboi,"House 162, Ruaraka Street, Kangundo",2024-10-31,A,DevOps,NA,Eng. Elijah Mwania,Logistics,Active
TECH-000075,NJOROGE EZEKIEL MUTUA,70819026,+254 723-148-40,njoroge.mutua@hotmail.com,1994-02-04,female,Kiambu,Lari,Kamburu,"Plot 303, Lane 18, Juja",03/02/2025,I,Cybersecurity,Cohort 3,Dr. Sarah Mutua,IoT,Withdrawn
TECH-000076,bridget kipkembori,50004437,+254 775-053-80,bridget.kipkemboi@gmail.com,1990-09-06,female,Kiambu,Lari,Kijabe,"Plot 225, Lane 20, Kasarani",16 Aug 2025,I,AI/ML,Cohort 2,Eng. Peter Ochieng,HealthTech,On Hold
TECH-000077,CHEPKOECH KEBASO,58688161,+254 106-587-43,chepkoech.kebaso@gmail.com,1983-03-24,male,Nairobi,Westlands,Kitisuru,"Plot 344, Lane 11, Jogoo",2026-11-13,A,Mobile Development,Cohort 1,Dr. Harun Mwikali,E-Commerce,Completed
TECH-000078,MCHARO GAKUNYI MARGARET,46 793 365,+254 797-989-93,gakunyi.mcharo@yahoo.com,1998-07-09,male,Nairobi,Dagoretti South,Riruta,"House 302, Ruiru Road, Thika Superhighway",17-06-2025,I,Data Science,Cohort 2,Eng. Amos Nduku,EdTech,Withdrawn
TECH-000079,ACHIENG GTIHUA,88960861,+254 702-120-18,agithua@gmail.com,07/18/2003,FEMALE,Nairobi,Dagoretti North,Kawangware,"plot 87, lane 19, ngong road",25/11/2026,I,AI/ML,Cohort  3,Eng. Anthony Wanyonyi,Clean Energy,Completed
TECH-000080,LEAH OJWANGG,66796333,+254 114-909-31,leah.ojwang@gmail.com,1971-01-04,male,Nakuru,Kuresoi South,Tinet,"House 471, Karen Road, Ruiru",07-Jul-25,I,Data Engineering,Cohort 1,Eng. Faith Nashipae,EdTech,Active
TECH-000081,masinde olele,94956292,+254 777-195-84,masinde.olela@gmail.com,1951-06-01,male,Turkana,Turkana Central,Kanamkemer,"Plot 445, Lane 8, Kilimani",02-Jul-2025,I,Data Science,Cohort 3,Eng. Gilbert Mutisya,EdTech,On Hold
TECH-000082,naisula wandera,90921574,+254 104-222-61,naisula83@gmail.com,01-05-1953,Male,Bomet,Konoin,Chepchabs,"Plot 275, Lane 18, Mombasa Road",20260704,Inactive,Data Engineering,COHORT-03,Prof. Daniel Mutisya,Clean Energy,Active
TECH-000083,NAMUKHULA ANYANGO,64178031,+254 106-423-22,namukhula.anyango@gmail.com,1960-09-04,female,Nairobi,Westlands,Kitisuru,"House 177, Thika Superhighway Drive, Kilimani",27-05-2026,I,Cybersecurity,Cohort 3,Dr. Jonah Kasina,AgriTech,On Hold
TECH-000084,nafula kagendo kamotho,13269183,+254 772-647-94,nafula.kamotho@hotmail.com,2004-12-07,male,Uasin Gishu,Soy,Moi's Bridge,"House 294, Uhuru Street, Kilimani",07-01-2025,A,Data Engineering,Cohort 2,Eng. Anthony Wanyonyi,HealthTech,On Hold
TECH-000085,munyao awiti,38731535,+254 797-410-41,munyao.awiti@gmail.com,1989-12-07,male,Mombasa,Nyali,Ziwa la Ng'ombe,NULL,2026-08-25,A,Mobile Development,Cohort 2,Eng. Martin Kasina,Fintech,Completed
TECH-000086,ATIENO GITAU,81798741,+254 746-160-61,atieno.gitau@gmail.com,1982-06-17,female,Mombasa,Kisauni,Bamburi,"Plot 191, Lane 10, Westlands",11/03/2025,A,Data Engineering,Cohort 1,Prof. Robert Kiema,EdTech,Completed
TECH-000087,KIPROP MUTISYA HARUN,26692837,+254 705-866-68,mutisya.kiprop@gmail.com,1977-06-11,female,Kilifi,Kilifi South,Chasimba,"Plot 69, Lane 3, Kangundo",05-03-2025,I,Mobile Development,Cohort 2,Dr. Aaron Nduku,IoT,Active
TECH-000088,jonah wachira,85643715,+254 722-459-18,jonah.wachira@gmail.com,1992-12-07,male,Uasin Gishu,Soy,Kapkures,"House 33, Argwings Kodhek Road, Lavington",12-17-2026,I,Data Engineering,Cohort 3,Eng. Anthony Wanyonyi,Fintech,Withdrawn
TECH-000089,isaac ongaya,65632441,+254 107-685-51,isaac.ongaya@yahoo.com,1977-03-26,male,Kilifi,Kaloleni,Mwanamwinga,"Plot 327, Lane 6, Kilimani",2026-09-20,A,Data Science,Cohort 1,Dr. Allan Mumo,IoT,Active
TECH-000090,MUGO WAMBUGU,93 485 270,+254 119-764-26,mugo.wambugu@yahoo.com,1978-09-16,male,Kiambu County,Limuru,Bibirioni,"Plot 375, Lane 10, Waiyaki",26-08-2026,A,Mobile Development,Cohort 1,Dr. Daniel Musyoka,IoT,Active
TECH-000091,ALLAN KERUBO MOMANYI,95823989,+254 733-807-74,allan.momanyi@outlook.com,1997-01-05,female,Kilifi,Kilifi South,Mtepeni,"Plot 375, Lane 16, Ngong Road",19/05/2024,A,AI/ML,Cohort 3,Eng. Anthony Wanyonyi,HealthTech,Completed
TECH-000092,nyambura ochieng,20324372,+254 787-966-78,nyambura.ochieng@gmail.com,1966-05-04,female,KIAMBU,,NACHU,"House 198, Jogoo Road, Kangundo",2024-12-25,,Cloud Computing,Cohort 1,Dr. Grace Wanjiku,AgriTech,On Hold
TECH-000093,caroline charity kipkemoi,15425350,+254 764-874-37,caroline.kipkemoi@outlook.com,1984-01-01,male,Kakamega,Shinyalu,Isukha Central,"Plot 81, Lane 5, Ngong",2024-07-11,I,DevOps,Cohort 1,Prof. David Kiprotich,EdTech,On Hold
TECH-000094,NDINDA GICHURU,19561156,+254 773-053-52,ndinda.gichuru@gmail.com,1953-08-06,female,Bomet,Konoin,Kimulot,NA,NULL,A,Data Engineering,Cohort 2,Prof. Daniel Mutisya,IoT,On Hold
TECH-000095,OJWANG MUTUA WANGARI,36-911-168,+254 726-953-79,ojwang.wangari@outlook.com,1966-06-03,female,Nairobi,Kasarani,Kasarani,"Plot 6, Lane 14, Lenana",01/17/2026,I,Cloud Computing,Cohort 3,Prof. Mercy Nduku,Logistics,Active
TECH-000096,"kivuva, joy",22133101,+254 749-313-77,joy.kivuva@outlook.com,1970-03-15,male,Nairobi,Dagoretti North,Kawangware,"Plot 158, Lane 8, Waiyaki",01/12/2024,I,Data Engineering,Cohort 3,Prof. Robert Kiema,EdTech,On Hold
TECH-000097,kiprotich nyambanie,63690535,+254 759-055-98,kiprotich.nyambane@gmail.com,1970-08-18,female,,Ainabkoi,Kaptagat,"House 151, Ngong Avenue, Kiambu Road",02-07-2024,A,AI/ML,Cohort 1,Eng. Martin Kasina,Fintech,Active
TECH-000098,MORAA OMAR,14511005,+254 711-823-26,moraa.omar@yahoo.com,02/08/1969,F,Machakos,Kathiani,Mitaboni,House 324 Thika Superhighway Drive Kiambu Road,02/20/2026,Pending,Mobile Development,Cohort1,Prof. Daniel Mutisya,IoT,On Hold
TECH-000099,ndunge joel marete,64739517,+254 764-639-15,ndunge.marete@outlook.com,1996-01-03,female,Kiambu,Kabete,Gitaru,"House 330, Moi Avenue Drive, Langata",2024-08-09,I,AI/ML,Cohort 3,Dr. Jeremiah Kioko,EdTech,On Hold
TECH-000100,kemunto kenei,57560131,+254 711-217-59,kemunto.kenei@yahoo.com,1992-12-07,male,Bomet,Bomet Central,Mutarakwa,"House 267, River Road Avenue, River Road",24-02-2026,I,AI/ML,Cohort 1,Eng. John Wekesa,E-Commerce,Completed
