beneficiary_id,full_name,national_id_no,mobile_number,email,dob,gender,county,sub_county,ward,address,enrollment_date,status,household_size,employment_status,monthly_income,support_type,beneficiary_category
PLUS-000036,leshan kaloki hassan,21206698,254 777 715 59,leshan.hassan@gmail.com,1975-06-15,FEMALE,Nakuru,Gilgil,Murindat,"Plot 21, Lane 11, River Road",05/12/2025,active,7,Self-Employed,35000,Food Support,Orphan
PLUS-000037,atieno kipkoec,21489788,254 783 379 21,atieno.kipkoech@gmail.com,1988-10-25,FEMALE,Nairobi,Dagoretti South,Uthiru,"Plot 392, Lane 1, Karen",Unknown,active,,Unemployed,,Medical Cover,Vulnerable
PLUS-000038,mwangi oseko,39029725,+25473795093,mwangi.oseko@gmail.com,1988-04-16,FEMALE,Mombasa,Nyali,Frere Town,"Plot 437, Lane 17, Kikuyu",2025-05-29,inactive,3,Unemployed,24500,Food Support,Vulnerable
PLUS-000039,pauline wanjohi,16194289,254 705 514 43,pauline.wanjohi@gmail.com,1973-07-15,FEMALE,Nakuru,Naivasha,Maai Mahiu,"House 371, Parklands Road, Waiyaki",03/06/2023,active,2,Employed,48500,Education Support,PWD
PLUS-000040,chepkirui kamau,83745996,254 779 891 69,chepkirui.kamau@hotmail.com,1999-05-27,FEMALE,Meru,Buuri,Kibirichia,"House 339, Kangundo Road, Kitisuru",2026-05-01,inactive,3,Self-Employed,,Food Support,Vulnerable
PLUS-000041,kiprotich simon koech,84262472,254 716 292 41,kiprotich.koech@gmail.com,1992-09-07,FEMALE,Nairobi,Kasarani,Mwiki,"House 376, Kitisuru Street, Ngong",2023-06-03,pending,4,Employed,78000,Food Support,Youth
PLUS-000042,alice kipsang,66255243,254 745 821 14,alice.kipsang@hotmail.com,1968-02-25,MALE,Kakamega,Lugari,Not Provided,"Plot 102, Lane 10, Jogoo",Not Provided,inactive,3,Unemployed,45000,Cash Transfer,PWD
PLUS-000043,wachira githinji,38162314,254 117 930 58,wachiragithinji@yahoo.com,1991-07-06,Male,Kiambu,Lari,Kijabe,House451KikuyuStreetLenana,20260702,A,2,Employed,71500,Cash Transfer,PWD
PLUS-000044,jonathan agnes kenei,12827313,254 789 076 91,jonathan.kenei@outlook.com,1998-03-01,MALE,Bomet,Sotik,Ndanai/Abosi,"Plot 275, Lane 16, Kangundo",01-06-2025,inactive,3,Retired,13500,Food Support,Elderly
PLUS-000045,awiti syombua barasa,20854852,254 103 004 55,awiti.barasa@gmail.com,1986-01-12,MALE,Nairobi,Lang'ata,Karen,"Plot 192, Lane 18, Kangundo",10-Apr-2023,inactive,5,Student,81000,Food Support,Vulnerable
PLUS-000046,kilonzo wamuyu,43 402 877,254 728 275 74,kilonzo.wamuyu@gmail.com,1976-05-09,MALE,Turkana,Turkana East,Kapedo/Napeitom,"Plot 422, Lane 14, Kiambu",20-May-25,pending,7,Self-Employed,52500,Education Support,Vulnerable
PLUS-000047,ombati brian chepkorir,70463012,Not Provided,ombati.chepkorir@outlook.com,Not Provided,MALE,Kiambu,Kabete,Muguga,"Plot 431, Lane 9, Limuru",04-13-2026,active,4,Student,18000,Food Support,PWD
PLUS-000048,chepkorir mcharo,23427820,254 747 496 09,chepkorir.mcharo@gmail.com,1991-06-20,FEMALE,Machakos,Kangundo,Kangundo Central,"Plot 309, Lane 7, Westlands",05/16/2023,active,3,Student,14000,Medical Cover,PWD
PLUS-000049,gitonga awiti cherono,77571186,254 702 194 70,gitonga.cherono@outlook.com,1992-07-02,FEMALE,Nairobi,Kasarani,Kasarani,"Plot 346, Lane 12, Lenana",13 Mar 2026,inactive,9,Retired,24000,Cash Transfer,Vulnerable
PLUS-000050,mwikali kipkorir awino,79932036,254 782 588 28,mwikali.awino@hotmail.com,1983-08-04,FEMALE,Kiambu,Kikuyu,Sigona,"House 308, Tom Mboya Avenue, Likoni",30/12/2023,pending,6,Student,21000,Medical Cover,Widow
PLUS-000051,lenguro ongeri,Unknown,254 745 578 29,lenguro.ongeri@gmail.com,1969-03-27,MALE,Bomet,Konoin,Chepchabs,"House 280, Athi River Avenue, Waiyaki",2023-08-05,active,5,Self-Employed,11000,Business Grant,Vulnerable
PLUS-000052,elizabeth kenga,73698335,254 742 522 00,elizabeth.kenga@yahoo.com,1977-08-13,MALE,Machakos,,Ndalani,"Plot 327, Lane 14, Kasarani",21/08/2024,inactive,5,Retired,75000,Food Support,Widow
PLUS-000053,wabomba kipkirui wadada, 16777558,254 756 604 37,wabomba.wadada@gmail.com,2003-11-16,FEMALE,Bungoma,Mt. Elgon,Elgon,"Plot 69, Lane 6, Argwings Kodhek",08-05-2023,pending,3,Employed,39000,Education Support,Elderly
PLUS-000054,rebecca mwendwa,80650431,254 751 877 34,rebeccamwendwa@yahoo.com,02/26/1990,female,Kakamega,Mumias East,Malaha/Isongo/Masindi,"Plot 422, Lane 16, Likoni",2023-01-21,ACTIVE,5,Retired,92500,Medical Cover,Youth
PLUS-000055,kamau mwania,92450997,254 709 307 58,kamau.mwania@outlook.com,1965-01-20,FEMALE,Bungoma,Webuye West,Matulo,"Plot 360, Lane 1, Waiyaki",11-01-2026,pending,3,Self-Employed,86000,Medical Cover,Elderly
PLUS-000056,teresa kasina,51964629,254 704 032 08,teresa.kasina@gmail.com,1988-07-17,MALE,Kilifi,Malindi,Malindi Town,"Plot 450, Lane 7, Athi River",13-May-2023,active,2,Employed,19000,Medical Cover,Orphan
PLUS-000057,kipkorir mwikali wachira,53699242,254 755 119 21,k.w@yahoo.com,1947-12-06,FEMALE,Kiambu,Kabete,Gitaru,"Plot 270, Lane 10, Moi Avenue",08-05-2023,pending,1,Student,18000,Education Support,Elderly
PLUS-000058,kebaso bett,3870-3415,254 745 197 80,kebaso.bett@yahoo.com,1997-06-07,MALE,Kisumu,Nyakach,South West Nyakach,"Plot 478, Lane 19, Garden Estate",23 Jul 2023,active,7,Unemployed,106000,Cash Transfer,PWD
PLUS-000059,ndunge  naisula  maina,41713949,254 767 767 58,ndunge.maina@gmail.com,1990-06-04,MALE,Kisumu,Not Provided,Kaloleni,"House 12, Karen Street, Parklands",2026-03-31,pending,6,Unknown,25500,Business Grant,Elderly
PLUS-000060,mugo wairimu mutisya,93828732,254 782 127 07,mugo.mutisya@yahoo.com,1960-10-28,FEMALE,Nyeri,Nyeri Town,Ruring'u,"House 409, Kiambu Road Road, Ruiru",22/02/2026,pending,8,Unemployed,8000,Education Support,Youth
PLUS-000061,moraa haggai kimutai,90 481 646,254 783 254 57,moraa.kimutai@outlook.com,1983-04-17,MALE,Uasin Gishu County,Kesses,Taratai,"House 314, Kilimani Drive, Thika Superhighway",11-Oct-2026,active,9,Employed,40500,Cash Transfer,Youth
PLUS-000062,martin m. ondieki,34-914-143,254 715 308 46,martin.ondieki@gmail.com,Not Provided,FEMALE,Meru,Tigania East,Muthara,"House 223, Kitisuru Avenue, Juja",04/04/2024,pending,2,Unemployed,64500,Cash Transfer,PWD
PLUS-000063,bridget nalieka, 91335378,254 745 368 09,bridget.naliaka@gmail.com,1991-01-14,FEMALE,Nairobi,Kibra,Sarang'ombe,"Plot 472, Lane 10, Athi River",2023-09-15,pending,4,Student,15000,Medical Cover,Vulnerable
PLUS-000064,kwamboka katua,41758221,254 712 824 50,k.k@hotmail.com,2003-02-02,Female,Uasin Gishu,Soy,Moi's Bridge,"Plot 391, Ln 1, Juja",29-05-2023,inactive,4,Student,39500,Education Support,Youth
PLUS-000065,alice wairimu odhiambo,85887403,254 789 980 62,alice.odhiambo@gmail.com,1991-08-26,FEMALE,Nairobi,Westlands,Mountain View,"House 189, River Road Road, Athi River",2026-01-06,active,2,Student,28500,Medical Cover,PWD
PLUS-000066,brenda olela,89 453 898,254 759 328 28,brenda.olela@gmail.com,2002-01-14,MALE,Mombasa,Kisauni,Mjambere,"Plot 259, Lane 9, Kikuyu",14-05-2024,inactive,4,Self-Employed,32500,Education Support,Vulnerable
PLUS-000067,chepkirui joel akinyi,41 208 729,254 116 138 80,chepkirui.akinyi@hotmail.com,1998-11-10,MALE,Meru,Igembe South,Athiru Gaiti,"Plot 225, Lane 16, Lavington",05/30/2025,pending,3,Employed,35500,Medical Cover,Widow
PLUS-000068,thomas kimutai,54952046,254 105 520 01,thomas.kimutai@gmail.com,2003-07-28,MALE,Nairobi,Dagoretti South,Mutuini,"Plot 429, Lane 17, Jogoo",01/07/2024,active,4,Retired,62000,Medical Cover,Youth
PLUS-000069,dorothy mutisya kagwe,20867677,254 112 073 21,dorothy.kagwe@gmail.com,,FEMALE,Mombasa,Nyali,Kongowea,"Plot 338, Lane 4, Ngong Road",Unknown,active,5,Retired,31500,Cash Transfer,Orphan
PLUS-000070,nabea rose wamalwa,11101134,254 731 945 78,nabea.wamalwa@gmail.com,1976-05-26,MALE,Unknown,Webuye East,Ndivisi,"House 42, Lavington Street, Ngong Road",2023-06-03,inactive,4,Student,33000,Cash Transfer,Vulnerable
PLUS-000071,kevin kipeati,59079312,254 734 611 34,kevin.kipaati@yahoo.com,2006-03-09,FEMALE,Trans Nzoia,Kwanza,Keiyo,"House 184, Kangundo Road, Tom Mboya",07/07/2025,pending,2,Self-Employed,46000,Business Grant,Widow
PLUS-000072,judy oching,53298009,0738-639-17,,1972-10-21,FEMALE,Machakos,Yatta,Kithimani,"House 243, Thika Superhighway Avenue, Garden Estate",2023-11-19,active,2,Student,31000,Cash Transfer,Elderly
PLUS-000073,wanjiru oseko,46278860,254 747 168 14,wanjiru.oseko@gmail.com,Unknown,MALE,Not Provided,Ainabkoi,Kapsoya,"House 353, Parklands Street, Kiambu Road",14-Aug-2026,active,3,Retired,8500,Medical Cover,PWD
PLUS-000074,dennis ongeri,30039564,254 714 472 69,dennis.ongeri@gmail.com,2005-12-18,FEMALE,Kiambu,Githunguri,Githiga,"House 208, Ruaraka Drive, Kiambu Road",30-07-2025,pending,1,Student,19500,Education Support,Vulnerable
PLUS-000075,silas muema,38844653,254 778 581 60,smuema@outlook.com,11-Apr-61,Female,Bungoma,Bumula,Kabula,"Plot 306, Ln 6, Argwings Kodhek",20230513,Active,3,Self-Employed,7500,Education Support,Vulnerable
PLUS-000076,nicholas kariuki,84500200,254 722 292 21,nicholas.kariuki@gmail.com,1975-09-03,FEMALE,Nakuru County,Kuresoi North,Nyota,"Plot 73, Lane 8, Outering",2025-11-13,inactive,3,Unemployed,22000,Cash Transfer,PWD
PLUS-000077,evelyn muriuki kenei,73175517,+25477777274,evelyn.kenei@yahoo.com,Unknown,FEMALE,Machakos,Not Provided,Mua,"Plot 118, Lane 8, Garden Estate",2026-12-19,pending,2,Retired,22000,Medical Cover,Youth
PLUS-000078,mwamburi hannah jepchumba,Unknown,254 762 647 08,hannah.mwamburi@hotmail.com,1981-12-01,FEMALE,Machakos,Machakos Town,Mutituni,"House 354, Langata Drive, Kikuyu",11/11/2024,inactive,6,Unemployed,24500,Business Grant,PWD
PLUS-000079,aoko mwakisha,34219451,254 737 597 37,a.mwakisha@gmail.com,22/07/1962,Male,Nyeri,Mathira,Ruguru,House230NgongRdAvenueKasarani,27-Aug-24,inactive,4,Unemployed,23000,Business Grant,Orphan
PLUS-000080,kioko mungai,37438725,254 793 428 96,kioko.mungai@gmail.com,1967-01-24,FEMALE,Bomet,Chepalungu,Nyongores,"House 442, Athi River Road, Likoni",01-06-2026,inactive,3,Self-Employed,27000,Medical Cover,Youth
PLUS-000081,nduku muema,58624291,254 763 485 65,nduku.muema@yahoo.com,1983-06-08,FEMALE,Machakos,Matungulu,Kyeleni,"Plot 472, Lane 14, Argwings Kodhek",02-10-2026,pending,3,Student,84500,Business Grant,Vulnerable
PLUS-000082,salim onsongo habakkuk,53043124,254 782 078 91,onsongo.salim@hotmail.com,1983-11-10,MALE,Uasin Gishu,Turbo,Huruma,"Plot 210, Lane 14, Ngong",21-08-2024,pending,3,Employed,40500,Medical Cover,PWD
PLUS-000083,jepchumba kagwe,90233459,254 785 707 50,jkagwe@yahoo.com,10-Nov-04,FEMALE,Machakos,Kathiani,Upper Kaewa/Iveti,House 312 Westlands Road River Road,23-09-2025,pending,5,Self-Employed,31000,Cash Transfer,PWD
PLUS-000084,micah kinyua,44296775,254 764 686 04,micah.kinyua@gmail.com,1999-03-17,FEMALE,Meru,South Imenti,Abogeta East,"Plot 319, Lane 2, Ngong Road",03-07-2024,inactive,5,Student,21500,Education Support,Youth
PLUS-000085,ochieng kaimenyi,70104994,254 731 770 87,ochieng.kaimenyi@gmail.com,2004-02-13,FEMALE,BOMET,KONOIN,Unknown,"Plot 458, Lane 18, Langata",Not Provided,pending,2,Employed,Unknown,Education Support,PWD
PLUS-000086,"chepngeno, charity",47684709,254 116 161 39,charity.chepngeno@gmail.com,1968-10-10,MALE,Nairobi,Lang'ata,Nyayo Highrise,"Plot 1, Lane 12, Langata",13/06/2026,pending,2,Unemployed,11000,Medical Cover,Orphan
PLUS-000087,george nafula,74059068,254 736 881 09,george.nafula@yahoo.com,1994-04-08,FEMALE,Trans Nzoia,Kiminini,Not Provided,"House 415, Limuru Road, Ruaraka",Not Provided,active,Unknown,Employed,53500,Food Support,Vulnerable
PLUS-000088,florence mutwiri nasimiyu,88733055,254 731 046 26,florence.nasimiyu@gmail.com,1969-01-07,FEMALE,Trans Nzoia,Endebess,Endebess,"Plot 25, Lane 5, Moi Avenue",28 Jul 2023,inactive,7,Self-Employed,18000,Cash Transfer,Widow
PLUS-000089,jeremiah hannah kivuva,94650751,254 799 317 57,jeremiah.kivuva@yahoo.com,1995-06-27,FEMALE,NAKURU,BAHATI,DUNDORI,"House 374, Kiambu Road Drive, Mombasa Road",2024-03-22,inactive,10,Self-Employed,13000,Medical Cover,Youth
PLUS-000090,kimeu maingi,91370652 ,254 756 436 77,kimeu.maingi@gmail.com,2005-09-22,FEMALE,Uasin Gishu,Soy,Segero/Barsombe,"Plot 123, Lane 2, Kileleshwa",Not Provided,inactive,10,Retired,77000,Education Support,Elderly
PLUS-000091,n. n. ndegwa,32723062,254 118 699 11,nabea.ndegwa@gmail.com,1995-01-15,MALE,Mombasa,Likoni,Likoni,"House 265, Ruaraka Drive, Argwings Kodhek",26/05/2026,inactive,3,Unemployed,22000,Cash Transfer,PWD
PLUS-000092,cynthia gichuki,95115329,011423192,cynthia.gichuki@yahoo.com,2001-02-24,MALE,Turkana,Turkana South,Kalamon,"House 413, Parklands Street, Kilimani",31/01/2025,active,6,Employed,31000,Cash Transfer,Youth
PLUS-000093,kipkemoi mutinda,91989541,254 766 400 30,kipkemoi.mutinda@gmail.com,1960-03-16,MALE,Kakamega,Mumias East,Lusheya/Lubinu,"Plot 319, Lane 5, Mombasa Road",2024-09-26,active,8,Unemployed,11500,Cash Transfer,Widow
PLUS-000094,erick olela,49345327,,erick.olela@yahoo.com,1966-05-07,MALE,Kakamega,Lugari,Unknown,"House 214, Kenyatta Drive, Kileleshwa",,pending,9,Employed,24000,Cash Transfer,Youth
PLUS-000095,kerubo njuguna nganga,32907135,254 757 393 46,kerubo.nganga@gmail.com,1976-08-14,FEMALE,Uasin Gishu,Ainabkoi,Kapsoya,"Plot 290, Lane 17, Argwings Kodhek",11-06-2026,inactive,3,Self-Employed,15000,Education Support,Vulnerable
PLUS-000096,martin stephen mwendwa,48709538,254 711 087 39,martinmwendwa@gmail.com,17 Mar 1974,M,Bomet,Konoin,Embomos,"PLOT 250, LANE 10, WAIYAKI",13-12-2026,ACTIVE,4,Unemployed,66000,Cash Transfer,Orphan
PLUS-000097,silas kaimeyni,78175036,254 703 688 18,silas.kaimenyi@outlook.com,1986-06-07,FEMALE,Nakuru County,Rongai,Menengai West,"Plot 217, Lane 9, River Road",2023-08-02,inactive,2,Self-Employed,10500,Cash Transfer,PWD
PLUS-000098,simon jepkech,96-643-468,254 786 527 60,sjepkoech@hotmail.com,20-Dec-1976,M,Machakos,Kathiani,Upper Kaewa/Iveti,Plot126Lane20Ruiru,28-02-2026,inactive,3,Unemployed,7000,Education Support,PWD
PLUS-000099,harun mutua kiarie,37425725,254 115 196 96,harun.kiarie@gmail.com,1969-01-17,MALE,Machakos,Yatta,Katangi,"House 401, Mombasa Road Street, Kenyatta",16-Jun-2024,inactive,6,Self-Employed,123500,Business Grant,Elderly
PLUS-000100,ojwang mutua wangari,36911168,254 726 953 79,Not Provided,1966-06-03,FEMALE,Nairobi,Kasarani,Kasarani,"Plot 6, Lane 14, Lenana",Not Provided,pending,2,,15000,Education Support,Orphan
PLUS-000101,moses robert chepkirui,47334460,254 715 544 79,moses.chepkirui@gmail.com,1964-07-24,MALE,Kakamega,Ikolomani,Idakho East,"Plot 351, Lane 13, Karen",19-03-2024,inactive,4,Retired,25500,Medical Cover,Widow
PLUS-000102,anthony saliim,38292455,254 706 765 48,anthony.salim@gmail.com,1959-11-08,FEMALE,Nairobi,Lang'ata,Nairobi West,"House 436, Karen Drive, Thika",2024-08-25,inactive,2,Student,69500,Education Support,Youth
PLUS-000103,bridget kiprono,41665325,254 775 817 28,bridget.kiprono@gmail.com,1993-12-09,MALE,Uasin Gishu,Kapseret,Ngeria,"Plot 466, Lane 9, Ngong",08-08-2024,active,7,Self-Employed,29500,Business Grant,Widow
PLUS-000104,kwamboka micah simiyu,61144210,254 794 346 95,k.simiyu@gmail.com,03-01-1965,MALE,Machakos,Masinga,Muthesya,Unknown,2024-09-22,Inactive,1,Self-Employed,20000,Food Support,Elderly
PLUS-000105,collins kipchumba,20835155,254 773 800 39,collins.kipchumba@yahoo.com,2000-01-04,FEMALE,Meru,Igembe South,Nkondi,"House 354, Garden Estate Street, Kangundo",09-Dec-2026,pending,9,Student,57000,Education Support,Youth
PLUS-000106,senteu naliaka lubanga,48309461,254 111 354 67,senteu.lubanga@outlook.com,1997-06-08,MALE,Nakuru,,,"Plot 456, Lane 7, River Road",26/04/2023,pending,4,Unemployed,31500,Food Support,Vulnerable
PLUS-000107,ruth onsongo,46545801,254 746 903 90,ruth.onsongo@yahoo.com,1964-01-23,MALE,Nairobi,Dagoretti North,Kileleshwa,"Plot 203, Lane 18, Athi River",19/02/2025,inactive,8,Student,18500,Food Support,Orphan
PLUS-000108,marete kosgei,56462427,254 793 345 23,marete.kosgei@hotmail.com,1997-09-03,FEMALE,Kisumu,Kisumu Central,Nyalenda 'B',"Plot 330, Lane 8, Jogoo",08/03/2023,active,8,Unemployed,93500,Food Support,PWD
PLUS-000109,mutua okello,33392072,254 759 887 04,mutua.okello@yahoo.com,1985-05-04,FEMALE,Nairobi,Kasarani,Mwiki,"House 174, Tom Mboya Avenue, Ruiru",03-06-2026,inactive,4,Self-Employed,84500,Food Support,Elderly
PLUS-000110,moraa wabomba,67742815,254 776 738 33,moraa.wabomba@outlook.com,1985-07-14,MALE,Unknown,Igembe Central,,"Plot 205, Lane 3, Argwings Kodhek",,active,5,Retired,10500,Education Support,Orphan
