beneficiary_id,full_name,id_number,mobile,email_address,date_of_birth,gender,county,sub_county,ward,postal_address,registration_date,status,training_center,training_area,skill_category,training_status,completion_status
VOC-000011,PRISCILLA KILONZO,41110667,+25410424041,priscilla_kilonzo@hotmail.com,1997-10-08,male,Kilifi,Malindi,Jilore,Plot54Lane19Jogoo,09/11/2023,Pending,Kisumu Youth Skills Centre,Tailoring,TECHNICAL,In Progress,Not Started
VOC-000012,MWIRIGI MWAMGO,71215394,+25472455490,mwirigi.mwango@gmail.com,1987-10-08,M,Nairobi,Kibra,Lindi,"House 442, Kiambu Road, Jogoo",2024-06-30,ACTIVE,Kakamega Youth Polytechnic,Graphics Design,Artisan,Dropped Out,Certified
VOC-000013,WANJIKU  HASSAN,16633532,+25410514446,Wanjiku.hassan@outlook.com,1981-02-05,M,Trans Nzoia,Saboti,Machewa,"House 325, Mugumo Road, Kikuyu",04/12/2024,ACTIVE,Eldoret Polytechnic,Plumbing,Digital,In Progress,Not Started
VOC-000014,WACHIRA KIPNGETICH KIVUVA,23089706,+25470660464,wachira.kivuva@gmail.com,1992-01-25,M,Bungoma,Sirisia,Malakisi/South Kulisiru,"Plot 429, Lane 18, Ruiru",08-05-2024,INACTIVE,Kisumu Youth Skills Centre,Metalwork,Technical,In Progress,Ongoing
VOC-000015,KINYA ISAAC KIOKO,76183001,+25473269409,kinya.kioko@outlook.com,2001-10-11,F,KIAMBU,GITHUNGURI,NGEWA,"Plot 458, Lane 19, Kikuyu",24-May-25,INACTIVE,Meru Vocational Centre,Electrical,Artisan,Enrolled,Completed
VOC-000016,AKINYI KOECH,43866730,+25476453854,akinyi.koech@yahoo.com,1956-05-06,F,Nakuru,Molo,Marioshoni,"Plot 408, Lane 18, Kiambu Road",02/01/2025,INACTIVE,Eldoret Polytechnic,Plumbing,Technical,Enrolled,Ongoing
VOC-000017,CYNTHIA MWIKALI KATUA,63297593,+25410718157,NA,1978-01-02,M,Nairobi,Kasarani,Clay City,NA,NA,ACTIVE,Bomet Youth Polytechnic,Carpentry,Hospitality,In Progress,Ongoing
VOC-000018,KALOKI LUBANGGA,14985525,+25477947531,kaloki.lubanga@outlook.com,1985-10-08,F,Mombasa,Nyali,Ziwa la Ng'ombe,"Plot 59, Lane 17, Thika",26-Jun-2023,INACTIVE,Thika Technical Training Institute,ICT,Technical,In Progress,Ongoing
VOC-000019,KARIUKI NYAMBANE,47309803,+25471558943,kariuki.nyambane@hotmail.com,1984-06-09,M,Kakamega,Shinyalu,Isukha South,"Plot 355, Lane 4, Ruaraka",09/01/2023,INACTIVE,Mombasa Technical Institute,Masonry,Digital,Dropped Out,Not Started
VOC-000020,ONYANGO MITEI,37234157,+25474528183,Not Provided,2002-01-13,F,Nakuru,Nakuru Town West,London,"Plot 431, Lane 5, Ruaraka",2025-10-16,ACTIVE,Nakuru Industrial Training Centre,Automotive,Hospitality,Dropped Out,Certified
VOC-000021,MUSALIA NDUNGE JUDITH,10859190,+25479720796,ndunge.musalia@yahoo.com,13-Jan-89,MALE,Kisumu,Kisumu East,Nyalenda 'A',"plot 352, lane 7, lenana",2025-12-24,NA,Mombasa Technical Institute,Welding,HOSPITALITY,Completed,Not Started
VOC-000022,NASHIPAE KIPRONO WANYONYI,59039768,+25470877906,Nashipae.wanyonyi@outlook.com,1984-03-26,M,Turkana,Turkana South,Katilu,"Plot 152, Lane 8, Mombasa Road",2023-06-10,INACTIVE,Nakuru Industrial Training Centre,Welding,Digital,In Progress,Completed
VOC-000023,JAMES ISAIAH MUTINDA,59720070,+25477414831,james.mutinda@outlook.com,NA,F,Uasin Gishu,Soy,N/A,"Plot 451, Lane 13, Athi River",Not Provided,ACTIVE,Mombasa Technical Institute,Graphics Design,Hospitality,Dropped Out,Not Started
VOC-000024,NAMUKHULA MACHARIA,46167085,+25411383349,namukhula.macharia@gmail.com,1953-06-25,M,Uasin Gishu,Moiben,Sergoit,"Plot 74, Lane 16, Ruiru",2025-12-02,INACTIVE,Meru Vocational Centre,Carpentry,Digital,Completed,Ongoing
VOC-000025,NJUGUNA MASINDE,Not Provided,+25470160041,Njuguna.masinde@yahoo.com,1982-09-21,F,Kakamega,NA,N/A,"House 75, Tom Mboya Street, Kiambu",09 May 2024,ACTIVE,Nakuru Industrial Training Centre,ICT,Digital,Completed,Completed
VOC-000026,SYOMBUA KIMUTAI,29846665,+25411124314,Syombua.kimutai@gmail.com,1997-01-19,F,Kiambu,Kiambu,Ndumberi,"Plot 134, Lane 11, Ngong Road",2025-12-28,ACTIVE,Kakamega Youth Polytechnic,ICT,Artisan,Dropped Out,Completed
VOC-000027,ALLAN AWITI NDEGWA,98565484,+25473999367,allan.ndegwa@gmail.com,1992-12-14,F,Nyeri,Othaya,Chinga,"Plot 471, Lane 7, Argwings Kodhek",23/01/2024,ACTIVE,Machakos Technical Institute,Hairdressing,Technical,Enrolled,Certified
VOC-000028,NASHIPAE KIPCHUMBA KIPROTICH,77503142,+25474625620,Nashipae.kiprotich@gmail.com,2005-03-26,F,Mombasa,Mvita,Tudor,NA,19/02/2024,ACTIVE,Eldoret Polytechnic,ICT,Hospitality,Enrolled,Certified
VOC-000029,NDEGWA WACHIRA MATTHEW,35849313,+25476146370,wachira.ndegwa@gmail.com,1988-08-03,F,Not Provided,Lari,Kijabe,"Plot 274, Lane 13, Lavington",2023-10-11,INACTIVE,Kakamega Youth Polytechnic,ICT,Technical,Dropped Out,Not Started
VOC-000030,COLLINS KIPCHUMMBA,20835155,+25477380039,Collins@yahoo.com,04-Jan-2000,M,Meru,Igembe South,Nkondi,House 354 Garden Estate Street Kangundo,2023-01-13,ACTIVE,Bomet Youth Polytechnic,Metalwork,ARTISAN,Enrolled,Completed
VOC-000031,TERESA ODHIAMBO KORIR,50553589,+25476529097,Teresa.korir@gmail.com,1978-04-05,F,Not Provided,Molo,N/A,"Plot 132, Lane 1, Kangundo",30-Aug-2025,INACTIVE,Kilifi Institute,Plumbing,Artisan,Completed,Certified
VOC-000032,ANTHONY MARTIN WANGARI,72505408,+25476283524,Anthony.wangari@hotmail.com,1965-02-25,F,Nyeri,Nyeri Town,Kiganjo/Mathari,"Plot 411, Lane 9, Ngong",02/03/2024,ACTIVE,Bomet Youth Polytechnic,Automotive,Hospitality,Dropped Out,Ongoing
VOC-000033,KINYUA  KANAMPIU  KIPKORIR,82488696,+25473693437,kinyua.kipkorir@gmail.com,1990-01-01,M,Kisumu,Muhoroni,Masogo/Nyang'oma,"Plot 238, Lane 2, Kasarani",06-12-2024,ACTIVE,N/A,Plumbing,Digital,In Progress,Ongoing
VOC-000034,JEREMIAH NANJLAA,85899286,+25476377393,Jeremiah.nanjala@outlook.com,1986-05-26,F,Nairobi,Lang'ata,Karen,"Plot 448, Lane 5, Kasarani",12 Feb 2024,INACTIVE,Mombasa Technical Institute,Graphics Design,Hospitality,Completed,Completed
VOC-000035,AOKO OTIENO,26272372,+25478712728,aoko.otieno@outlook.com,1961-04-20,F,Turkana,Turkana East,Lokori/Kochodin,"Plot 68, Lane 3, Lavington",2025-02-19,ACTIVE,Kakamega Youth Polytechnic,Electrical,Hospitality,Completed,Certified
VOC-000036,MARY NJUGUNA,40595256,+254 708 492 59,Mary.njuguna@hotmail.com,1948-06-18,F,MERU,Tigania West,Kianjai,"Plot 260, Lane 17, Westlands",27-08-2023,ACTIVE,Thika Technical Training Institute,Hairdressing,Hospitality,Enrolled,Certified
VOC-000037,KIPKORIR ONSONGO SENTEU,54653615,+25470763734,kipkorir.senteu@hotmail.com,1994-10-13,F,Kisumu,Muhoroni,Masogo/Nyang'oma,"Plot 420, Lane 17, Thika",01-Aug-2023,INACTIVE,Kakamega Youth Polytechnic,Carpentry,Digital,Dropped Out,Ongoing
VOC-000038,KIMEU OMAR,78238599,+25473387328,kimeu_omar@gmail.com,13/09/1995,F,Kiambu,Ruiru,Gatong'ora,"PLOT 312, LANE 8, TOM MBOYA",2023-08-02,I,Eldoret Polytechnic,Masonry,TECHNICAL,Completed,Ongoing
VOC-000039,MUKHWANA NICHOLAS GIKONYO,91082703,+25473704849,gikonyomukhwana@hotmail.com,28-Nov-60,FEMALE,Mombasa,N/A,Chaani,Plot4Lane11Jogoo,01-Jul-2025,A,Kilifi Institute,Electrical,HOSPITALITY,Completed,Completed
VOC-000040,ONGERI OMAR,41812000,+25473612321,Ongeri.omar@yahoo.com,1962-02-13,F,Bungoma,Webuye East,Mihuu,"House 237, Thika Superhighway Avenue, Ruaraka",20-02-2023,ACTIVE,Nakuru Industrial Training Centre,Graphics Design,Artisan,Completed,Not Started
VOC-000041,KEVIN NABEA KIPRONO,31281052,+25473562388,kevin.kiprono@gmail.com,1965-08-28,M,Kakamega,Mumias West,Musanda,"Plot 200, Lane 10, Kangundo",02-08-2023,ACTIVE,Kakamega Youth Polytechnic,Hairdressing,Artisan,In Progress,Completed
VOC-000042,NASIMIYU OTIENO SENTEU,73374043,+25478620628,Nasimiyu.senteu@gmail.com,1963-04-19,M,Nairobi,Westlands,Parklands,"House 96, Jogoo Street, Karen",03/01/2023,INACTIVE,Bomet Youth Polytechnic,Hairdressing,Digital,Completed,Certified
VOC-000043,KAIMENYI KRENGA,52112003,+25476933668,Kaimenyi.kenga@gmail.com,1981-02-07,M,Bungoma,Webuye West,Matulo,"Plot 127, Lane 19, River Road",09/19/2024,N/A,Nairobi Vocational Training Centre,Electrical,Technical,In Progress,Not Started
VOC-000044,CYNTHIA OMBAIT,99849459,N/A,NA,1988-12-15,F,Kiambu,Limuru,Bibirioni,"Plot 377, Lane 15, Tom Mboya",04/03/2025,ACTIVE,Not Provided,Catering,Digital,In Progress,Completed
VOC-000045,MONICA IRENE MUSYIMI,74434188,+25411955764,monica.musyimi@yahoo.com,1968-01-11,F,Uasin Gishu,N/A,Cheptiret/Kipchamo,"Plot 442, Lane 18, Ruaraka",21-02-2024,INACTIVE,Kakamega Youth Polytechnic,Tailoring,Digital,In Progress,Ongoing
VOC-000046,"CHEPNGENO, MALACHI ROSE",28008622,+25471831440,malachi.chepngeno@yahoo.com,1986-04-27,F,Nakuru,Kuresoi South,Amalo,"House 206, Kitisuru Avenue, Argwings Kodhek",07/24/2024,ACTIVE,Kakamega Youth Polytechnic,ICT,Digital,Dropped Out,Completed
VOC-000047,NASHIPAE KIPSANG,41394014,+25411745552,nashipae.kipsang@gmail.com,1988-03-25,M,Nairobi,Lang'ata,Nyayo Highrise,"House 342, Kenyatta Avenue, Argwings Kodhek",27-Dec-25,INACTIVE,Mombasa Technical Institute,Plumbing,Artisan,Dropped Out,Certified
VOC-000048,ALEXANDER MWAMBURI,44182277,+25410999363,Alexander.mwamburi@outlook.com,1955-06-21,M,Meru,Tigania West,Kianjai,"Plot 250, Lane 17, Waiyaki",2023-02-26,ACTIVE,Kilifi Institute,Masonry,Technical,In Progress,Not Started
VOC-000049,DIANA NOKUN MWANGI,42867023,+25476156406,diana.mwangi@hotmail.com,1990-05-10,M,Kisumu,Kisumu West,North Kisumu,"House 48, Lenana Road, Kiambu",18 Apr 2025,INACTIVE,Thika Technical Training Institute,Carpentry,Technical,In Progress,Not Started
VOC-000050,EVELYN MARY MATOKE,59335658,+25474671087,evelyn.matoke@gmail.com,1970-12-25,F,Uasin Gishu,Kapseret,Langas,"Plot 439, Lane 16, Kikuyu",10/10/2025,INACTIVE,Mombasa Technical Institute,Tailoring,Digital,Completed,Ongoing
VOC-000051,MARTHA NALIAKA,61 326 806,+25472446967,martha.naliaka@hotmail.com,1997-01-24,F,MACHAKOS,Kangundo,Kangundo East,"Plot 183, Lane 1, Kiambu",11 Mar 2023,INACTIVE,Nairobi Vocational Training Centre,Plumbing,Digital,Completed,Not Started
VOC-000052,WANYONYI KIMUTAI,29353979,+25411390505,Wanyonyi.kimutai@yahoo.com,1984-12-18,F,Mombasa,Mvita,Shimanzi,"Plot 105, Lane 12, Likoni",08-07-2025,ACTIVE,Mombasa Technical Institute,Carpentry,Technical,Completed,Ongoing
VOC-000053,VINCENT LYDIA HASSAN,10502052,+25475101957,vincent.hassan@gmail.com,1998-03-27,F,Nakuru,Kuresoi North,Nyota,"House 394, Outering Drive, Thika Superhighway",31-03-2025,ACTIVE,Nairobi Vocational Training Centre,Masonry,Technical,Completed,Not Started
VOC-000054,DENNIS MUMO,71572793,+25478933206,Dennis.mumo@yahoo.com,1966-01-23,M,Kilifi,Kilifi North,Tezo,"House 206, Ngong Road Street, Kiambu Road",2023-04-28,ACTIVE,Bomet Youth Polytechnic,Metalwork,Artisan,Enrolled,Completed
VOC-000055,AWITI MOHAMED,97518125,+25476198551,Awiti.mohamed@outlook.com,1982-02-09,M,Bungoma,Kabuchai,Kabuchai/Chwele,"Plot 296, Lane 8, Lenana",08 Oct 2023,ACTIVE,Thika Technical Training Institute,Plumbing,Artisan,Completed,Certified
VOC-000056,MARTIN SIGIE,15324758,+25476479825,Martin.sigei@hotmail.com,1998-07-24,M,Nakuru,Nakuru Town West,Kapkures,"House 408, Kikuyu Avenue, Jogoo",23/01/2023,INACTIVE,Nakuru Industrial Training Centre,Welding,Digital,Enrolled,Ongoing
VOC-000057,ERICK NAFULA,62831328,+25476963180,Erick.nafula@gmail.com,1976-04-27,M,Nairobi,Lang'ata,Karen,"Plot 137, Lane 14, Kilimani",18-Aug-2024,ACTIVE,Kisumu Youth Skills Centre,Electrical,Technical,Dropped Out,Certified
VOC-000058,JAMES GIKNYO,23646357,+25479965624,James76@hotmail.com,08/28/1950,male,Meru,South Imenti,Igoji West,"Plot 121, Lane 10, Parklands",08-Dec-25,I,Thika Technical Training Institute,Carpentry,TECHNICAL,Completed,Not Started
VOC-000059,GITHINJI SAIIMU,51367965,+25476832522,Githinji.saidimu@hotmail.com,1968-08-09,M,Nairobi,Dagoretti South,Uthiru,NA,10/02/2023,INACTIVE,Mombasa Technical Institute,Catering,Technical,Completed,Ongoing
VOC-000060,PEACE OSEKO,99575241,+25475274721,p.o@yahoo.com,21-Aug-1983,F,Kilifi,Magarini,Marafa,"Plot 148, Ln 10, Karen",11/01/2024,pending,Kilifi Institute,Catering,ARTISAN,Completed,Completed
VOC-000061,NASERIAN KAGWE,NA,+25471969691,naserian.kagwe@hotmail.com,1959-01-11,F,Kilifi,Kilifi South,Shimo la Tewa,"Plot 432, Lane 15, Langata",02-01-2024,ACTIVE,Kilifi Institute,Metalwork,Technical,Completed,Certified
VOC-000062,MULWA OMAR,77 505 434,+25473702894,Mulwa.omar@hotmail.com,1998-11-27,M,Kilifi,Kilifi South,Mtepeni,"Plot 454, Lane 15, Argwings Kodhek",13-09-2024,INACTIVE,Kitale Technical College,Catering,Technical,Dropped Out,Ongoing
VOC-000063,FAITH AWITI KAMANDE,89064828,+25476572143,faith.kamande@yahoo.com,1992-02-26,M,Nairobi,Kasarani,Njiru,"House 459, Karen Street, Kangundo",22/06/2023,INACTIVE,Nakuru Industrial Training Centre,Automotive,Digital,Enrolled,Certified
VOC-000064,MALACHI KAGWE,69278774,+25477283086,M.kagwe@hotmail.com,17-Aug-1966,female,Kiambu,Ruiru,Kiuu,Plot 66 Lane 11 Kileleshwa,10/30/2024,inactive,Machakos Technical Institute,Automotive,HOSPITALITY,Enrolled,Not Started
VOC-000065,CHEPKORIR GEITHUA,23062971,+25478177602,chepkorir.githua@gmail.com,1983-01-04,F,Mombasa,Likoni,Likoni,"Plot 384, Lane 14, Kiambu Road",20251124,INACTIVE,Kakamega Youth Polytechnic,Plumbing,Artisan,In Progress,Not Started
VOC-000066,NAISULA MWIKALI KIHIKA,12952658,+25473139195,Naisula.kihika@gmail.com,1986-02-26,F,Nairobi,Lang'ata,Mugumu-ini,"House 341, Karen Road, Karen",27-Sep-24,ACTIVE,Nairobi Vocational Training Centre,Carpentry,Digital,Dropped Out,Completed
VOC-000067,MUKAMIMBAKA,44170318,+25474100397,Mukami.mbaka@hotmail.com,1975-01-15,M,Machakos,Matungulu,Tala,"House 91, Kasarani Drive, Athi River",2024-02-26,ACTIVE,Nairobi Vocational Training Centre,Metalwork,Digital,In Progress,Not Started
VOC-000068,KALOKI CHEPKORIR,52550453,+25474400322,Kaloki.chepkorir@hotmail.com,1992-12-18,M,Machakos,Matungulu,Matungulu East,"House 196, Parklands Street, Karen",12-Jul-25,ACTIVE,Nairobi Vocational Training Centre,Welding,Technical,In Progress,Certified
VOC-000069,PAUL ONYANJO,87918067,+25472317975,Paul.onyango@yahoo.com,2002-03-07,M,Mombasa,Kisauni,Mjambere,"Plot 408, Lane 1, Mombasa Road",2025-11-27,ACTIVE,Nakuru Industrial Training Centre,Carpentry,Hospitality,Completed,Certified
VOC-000070,CECILIA CHEPKWONY,25554265,+25472214497,cecilia.chepkwony@yahoo.com,1974-05-25,M,Trans Nzoia,Saboti,Saboti,"House 385, Lenana Street, Uhuru",2025-06-17,INACTIVE,Meru Vocational Centre,Automotive,Digital,Dropped Out,Not Started
VOC-000071,KIPNGETICH MBAKA MUNYORI,50021320,+25472855082,Kipngetich.munyori@gmail.com,1987-04-07,M,Nairobi,Dagoretti North,Kawangware,"Plot 190, Lane 4, Parklands",15/08/2024,ACTIVE,Nairobi Vocational Training Centre,Plumbing,Artisan,Enrolled,Completed
VOC-000072,KIPSANG JUDY OMBATI,89609762,+25479521352,kipsang.ombati@gmail.com,1981-09-12,M,Kilifi,Magarini,Sabaki,"Plot 36, Lane 6, Karen",22 Feb 2024,ACTIVE,Kisumu Youth Skills Centre,Carpentry,Digital,Dropped Out,Ongoing
VOC-000073,ESTHER WAMUYU,58437433,+25410839343,Esther.wamuyu@outlook.com,1953-06-21,M,Turkana,NA,Not Provided,"House 210, Likoni Road, Tom Mboya",N/A,ACTIVE,Nakuru Industrial Training Centre,Hairdressing,Digital,Completed,Ongoing
VOC-000074,AWITI PAUL MWANIA,38834086,+25411411453,Awiti.mwania@gmail.com,1963-07-22,F,Kiambu,Kiambu,N/A,"Plot 412, Lane 13, Lenana",05/11/2024,INACTIVE,Kitale Technical College,Catering,Hospitality,Completed,Ongoing
VOC-000075,MERCY KIPSANG WACHIRA,25475831,+25479403869,mercy.wachira@gmail.com,1950-08-05,F,Bungoma,Mt. Elgon,Elgon,"Plot 84, Lane 9, Uhuru",2024-05-15,ACTIVE,Eldoret Polytechnic,ICT,Hospitality,Enrolled,Completed
VOC-000076,WANJIRU KAMAU KAMOTHO,22740257,+25476464964,Kamothowanjiru@outlook.com,13/01/1998,female,Meru,Igembe Central,Antubochiu,"House 234, Argwings Kodhek Road, Lavington",09/12/2024,inactive,Bomet Youth Polytechnic,Hairdressing,TECHNICAL,Completed,Certified
VOC-000077,CYNTHIA GITOBUERICK,77569898,+25410912327,Cynthia.gitobu@gmail.com,1992-05-12,M,Mombasa,Kisauni,Mwakirunge,"House 221, Parklands Drive, River Road",03-Apr-2024,ACTIVE,Nakuru Industrial Training Centre,Graphics Design,Digital,Completed,Ongoing
VOC-000078,DOROTHY JEPKORIR,39413080,+25475766938,dorothy.jepkorir@gmail.com,1984-12-21,M,Bomet,Bomet Central,Mutarakwa,"Plot 209, Lane 14, Kiambu Road",03/18/2023,INACTIVE,Meru Vocational Centre,Automotive,Artisan,Enrolled,Completed
VOC-000079,KAGENDO KIPKEMBOI,31035769,+25476628060,kagendo.kipkemboi@gmail.com,1972-04-02,F,Bomet,Konoin,Chepchabs,"House 111, Kiambu Road Drive, Limuru",21/07/2023,ACTIVE,Nakuru Industrial Training Centre,Metalwork,Hospitality,Enrolled,Completed
VOC-000080,MOMANYI NALIAKA,80313876,+25471745390,Momanyi.naliaka@gmail.com,1993-02-10,M,Kakamega,Butere,Marama South,"House 440, Athi River Street, Kiambu Road",01/03/2024,INACTIVE,Kilifi Institute,Metalwork,Digital,Enrolled,Completed
VOC-000081,CHEPNGENO KAIMENYI KENGA,77959317,+25471108800,chepngeno.kenga@hotmail.com,1985-03-11,M,Nakuru,Rongai,Solai,"House 166, Tom Mboya Drive, Kiambu",20240811,ACTIVE,Mombasa Technical Institute,Metalwork,Hospitality,Enrolled,Not Started
VOC-000082,MUKHWANA NDUKU,29766571,+25473197233,Mukhwana.nduku@gmail.com,1979-11-24,M,Mombasa,Likoni,Mtongwe,"House 412, Mugumo Drive, Lavington",07-Jan-23,ACTIVE,Kakamega Youth Polytechnic,Masonry,Hospitality,In Progress,Completed
VOC-000083,AWUOR LESHEN,64250555,+25476504747,awuor.leshan@gmail.com,1976-09-12,M,Kakamega,Mumias West,West Wanga,"Plot 173, Lane 3, Ngong Road",03-Apr-25,ACTIVE,Mombasa Technical Institute,Catering,Digital,Dropped Out,Completed
VOC-000084,KASINA GEORGE KARANJA,36369313,+25478670320,kasina.karanja@hotmail.com,1971-03-01,F,Kilifi,Kilifi North,Tezo,"House 264, Ngong Road, Kikuyu",06-Jan-2025,ACTIVE,Thika Technical Training Institute,Masonry,Digital,Dropped Out,Ongoing
VOC-000085,SIMON PAULINE ODUYA,62880140,+25472626658,simon.oduya@gmail.com,1970-10-13,F,Machakos,Yatta,Kithimani,"Plot 303, Lane 12, Lenana",25/04/2024,ACTIVE,Meru Vocational Centre,Graphics Design,Digital,Dropped Out,Ongoing
VOC-000086,OMBATI MUEMA,85007742,+25470339481,ombati.muema@gmail.com,1983-12-04,M,Machakos,Machakos Town,Machakos Central,"Plot 254, Lane 1, Kasarani",2024-05-02,ACTIVE,Eldoret Polytechnic,Catering,Artisan,In Progress,Completed
VOC-000087,KIPKIRUI GAKII WANGARI,41606345,NA,Kipkirui.wangari@hotmail.com,1990-08-03,F,Nairobi,Dagoretti North,Not Provided,Not Provided,28/11/2025,ACTIVE,Nairobi Vocational Training Centre,Hairdressing,Artisan,Dropped Out,Completed
VOC-000088,CHARITY EDWARD MWAMBURI,12421892,Not Provided,Charity.mwamburi@gmail.com,N/A,M,Kiambu,Lari,Kamburu,"Plot 31, Lane 19, Thika",02-Apr-2024,INACTIVE,NA,Hairdressing,Artisan,Enrolled,Completed
VOC-000089,BRENDA OLELA,89453898,+25475932828,brenda.olela@gmail.com,Not Provided,M,Mombasa,NA,Mjambere,Not Provided,10-03-2023,INACTIVE,Kisumu Youth Skills Centre,Graphics Design,Artisan,Completed,Certified
VOC-000090,MUKAMI REBECCA AUMA,25226934,+25473300039,mukami.auma@gmail.com,1995-12-20,M,Kakamega,Butere,Marama Central,"Plot 94, Lane 19, Moi Avenue",07-10-2024,ACTIVE,Machakos Technical Institute,Catering,Hospitality,In Progress,Certified
VOC-000091,MOGAKA MUTISYA NJUGUNA,14456047,+25476738457,mogaka.njuguna@hotmail.com,1960-09-17,F,Kilifi,Kaloleni,Kayafungo,"Plot 452, Lane 2, Langata",2024-01-25,ACTIVE,Meru Vocational Centre,Masonry,Digital,Enrolled,Certified
VOC-000092,ALICE SYOMBUA MWIRIGI,76245685,+25473404458,alice.mwirigi@outlook.com,1991-01-25,F,Kiambu,Kiambu,Ndumberi,"Plot 115, Lane 10, Parklands",2024-09-18,ACTIVE,Thika Technical Training Institute,Tailoring,Technical,Enrolled,Certified
VOC-000093,MARY MUTHAMA,26773207,+25471137340,Mary.muthama@yahoo.com,1972-02-13,F,Nyeri,Mathira,Konyu,"Plot 368, Lane 11, Kangundo",10-01-2023,INACTIVE,Kisumu Youth Skills Centre,Electrical,Artisan,In Progress,Not Started
VOC-000094,SILAS MWOROA,14109890,+25477706851,Silas.mworoa@yahoo.com,1983-01-08,M,Uasin Gishu,Soy,Ziwa,"Plot 262, Lane 7, Kiambu Road",09/02/2025,INACTIVE,Bomet Youth Polytechnic,ICT,Artisan,Enrolled,Completed
VOC-000095,KAGWIRIA MWIKALI KINYA,49752081,+25477187915,kagwiria.kinya@gmail.com,1977-06-03,M,Nakuru,Bahati,Bahati,"House 286, Lenana Avenue, Mombasa Road",04-05-2024,ACTIVE,Thika Technical Training Institute,ICT,Technical,In Progress,Not Started
VOC-000096,WANJIKU MWANIA,62791055,+25475273912,wanjiku.mwania@yahoo.com,1952-05-11,M,Kakamega,Shinyalu,Isukha Central,"House 78, Kikuyu Road, Kiambu",22-Jan-2025,INACTIVE,Bomet Youth Polytechnic,Masonry,Digital,Enrolled,Completed
VOC-000097,OKELLO HABAKKUK MOHAMED,33179292,+25474759627,o.m@outlook.com,08-Dec-00,MALE,Nairobi,Dagoretti South,Riruta,House273TomMboyaAvenueAthiRiver,10-08-2023,INACTIVE,Eldoret Polytechnic,Carpentry,ARTISAN,Enrolled,Not Started
VOC-000098,SYOKAU KIPROTICH,89797435,+25411443694,Syokau.kiprotich@gmail.com,1996-01-04,M,Kiambu,Kikuyu,Nachu,"House 466, Garden Estate Avenue, Uhuru",2025-12-26,ACTIVE,Kilifi Institute,Tailoring,Digital,In Progress,Ongoing
