beneficiary_id,full_name,national_id,phone_number,email,date_of_birth,gender,county,sub_county,ward,address,registration_date,status,school_name,education_level,course,scholarship_amount,academic_year
SCH-000028,Mercy Mwendwa,51370674,072440210,mercy.mwendwa@yahoo.com,1991-10-05,Male,Bungoma,Webuye East,Maraka,"House 436, Moi Avenue Drive, Ngong",08-07-2024,Inactive,Green Garden Academy,Postgraduate,Civil Engineering,360427,2025/2026
SCH-000029,Benjamin Gathoni Chepkwony,,072818178,N/A,1993-02-06,Female,Bungoma,Kanduyi,Marakaru/Tuuti,"Plot 419, Lane 18, Kilimani",05/22/2023,,Coast Institute of Technology,Certificate,Business,357894,2023/2024
SCH-000030,Muthoka Odhiambo Simiyu,65119167,010606138,muthoka.simiyu@yahoo.com,1997-01-22,Female,Kakamega,Mumias West,Etenje,"House 420, Kileleshwa Drive, Ngong",07/07/2022,Active,Moi High School Kabarak,Postgraduate,Medicine,152175,2022/2023
SCH-000031,Wambui Baya,49514786,071638625,wambui.baya@gmail.com,1999-06-09,Male,Kisumu,Nyakach,West Nyakach,"Plot 90, Lane 2, Juja",09 Dec 2024,Active,Prestige Academy,Secondary,Accounting,155587,2024/2025
SCH-000032,Evelyn Rimberia,71679877,079927681,evelyn.rimberia@gmail.com,1995-01-02,Female,Kilifi,Kilifi South,Mtepeni,"House 308, Westlands Drive, Uhuru",20/02/2023,Active,University of Nairobi,Diploma,Law,155667,2022/2023
SCH-000033,Priscilla Kilonzo,41110667,010424041,priscilla.kilonzo@outlook.com,1997-10-08,Female,Kilifi,Malindi,Jilore,"Plot 54, Lane 19, Jogoo",06/04/2023,Pending,JKUAT,Postgraduate,Social Work,375105,2024/2025
SCH-000034,Kipkorir Onsongo Senteu,54653615,070763734,kipkorir.senteu@hotmail.com,1994-10-13,Female,Kisumu,Muhoroni,Masogo/Nyang'oma,"Plot 420, Lane 17, Thika",2022-05-07,Active,Kenyatta University,Certificate,Economics,269623,2024/2025
SCH-000035,Simiyu Wangaari,60057264,011809253,simiyu.wangari@gmail.com,1966-10-09,Male,Bomet,Bomet East,Merigi,"House 72, Limuru Street, Karen",03 Jul 2024,Active,NULL,Diploma,Engineering,397431,2023/2024
SCH-000036,Vincent Muthoka,29 917 719,079618206,vincent.muthoka@yahoo.com,1994-08-01,Male,Kiambu,Limuru,Ndeiya,"Plot 381, Lane 2, Kangundo",2023-12-30,Active,Alliance High School,Diploma,Education,219992,2025/2026
SCH-000037,Charity Timothy Waithera,14542798,070646306,c.w@gmail.com,05/20/1988,FEMALE,Kakamega,Mumias East,Malaha/Isongo/Masindi,"House 186, Kikuyu Road, Kileleshwa",29-Aug-2022,I,Kabianga High School,DIPLOMA,Civil Engineering,175685,2024 /2025
SCH-000038,Wafula Naserian Wambui,54 838 683,073180449,wafula.wambui@yahoo.com,1993-11-09,Male,Nairobi,Dagoretti North,Kileleshwa,"Plot 85, Lane 9, Moi Avenue",15-11-2025,Active,Maseno University,Diploma,Civil Engineering,218399,2025/2026
SCH-000039,Mueni Mbaka,30947020,+25471550651,mueni.mbaka@outlook.com,2001-12-08,Female,Nakuru,Bahati,Bahati,"Plot 235, Lane 8, Lenana",18/08/2022,Pending,Green Garden Academy,Certificate,Accounting,167366,2025/2026
SCH-000040,Margaret Okello Salim,16415390,074478662,margaret.salim@hotmail.com,1968-04-26,Male,Kakamega,NULL,East Wanga,"Plot 9, Lane 6, Kitisuru",02/06/2022,Pending,University of Nairobi,Certificate,Civil Engineering,216263,2024/2025
SCH-000041,Kinya Kioko Nasimiyu,56126985,010715177,nasimiyukinya@gmail.com,14 Oct 1980,Male,Machakos,Kathiani,NULL,"PLOT 127, LANE 1, RIVER ROAD",17 Feb 2024,inactive,Rift Valley Institute,NULL,Accounting,268266,2022 / 2023
SCH-000042,"Kimutai, Moraa Haggai",90481646,078325457,moraa@yahoo.com,17/04/1983,F,Uasin Gishu,Kesses,Taratai,"House 314, Kilimani Drive, Thika Superhighway",19-Jan-2024,I,Maseno University,POSTGRADUATE,Accounting,141446,2023-2024
SCH-000043,Nekesa Kimutai,68176943,077651296,nekesa.kimutai@hotmail.com,1976-05-11,Female,Kakamega,Khwisero,Kisa North,"House 125, Garden Estate Avenue, River Road",25-Dec-2024,Inactive,Maranda High School,Undergraduate,Medicine,113969,2023/2024
SCH-000044,GATHONI NAMUKHULA,63604794,078547025,gathoni.namukhula@yahoo.com,1963-02-20,Female,KIAMBU,RUIRU,KAHAWA SUKARI,"House 69, Parklands Road, Kiambu Road",09-07-2025,Inactive,Lenana School,Undergraduate,Public Health,309085,2024/2025
SCH-000045,Ongeri Jane Musyimi,24277696,071440638,ongeri.musyimi@outlook.com,1982-05-21,Female,Nairobi,Dagoretti North,Kileleshwa,"Plot 28, Lane 18, Kikuyu",20251017,Pending,Lenana School,Diploma,Medicine,138478,2022/2023
SCH-000046,Adhiambo Samuel Mutisya,91630214,010214881,adhiambo.mutisya@gmail.com,1984-03-22,Male,Nyeri,Nyeri Town,Kiganjo/Mathari,"Plot 298, Lane 13, Mombasa Road",05-11-2022,Inactive,Mount Kenya University,Undergraduate,Architecture,160426,2025/2026
SCH-000047,Bridget Jonathan Mbuthia,97510445,070989173,bridget.mbuthia@outlook.com,1985-10-24,Male,Bungoma,Kanduyi,East Sang'alo,"House 298, Kangundo Road, Mombasa Road",07-27-2023,Active,Moi High School Kabarak,Diploma,Business,332186,2024/2025
SCH-000048,Kaimenyi Kenga,52112003,25476933668,kaimenyi.kenga@gmail.com,1981-02-07,Male,Bungoma,Webuye West,Matulo,"Plot 127, Lane 19, River Road",15/02/2023,Inactive,Green Garden Academy,Undergraduate,Social Work,265979,2025/2026
SCH-000049,Rimberia Naipanoi Gichuki,68410653,079728848,rimberia.gichuki@outlook.com,1975-02-14,Male,Meru,Central Imenti,Kabachi,"Plot 12, Lane 9, Tom Mboya",03 Oct 2022,Pending,Mount Kenya University,Postgraduate,Journalism,168189,2023/2024
SCH-000050,Onyango Mitei,37 234 157,074528183,onyango.mitei@yahoo.com,2002-01-13,Female,Nakuru,Nakuru Town West,London,"Plot 431, Lane 5, Ruaraka",14/10/2023,Active,Kenya Methodist University,Diploma,Agriculture,122715,2025/2026
SCH-000051,Mercy Koross,10176075,011659606,mercy19@yahoo.com,1976-01-13,MALE,Kiambu,Kikuyu,Kikuyu,"HOUSE 320, KANGUNDO AVENUE, LENANA",2023-12-19,Active,Eldoret National Polytechnic,UNDERGRADUATE,Engineering,279754,2024-2025
SCH-000052,Naserian Ouya,30793913,073364110,naserian.oduya@outlook.com,1960-04-19,Female,Uasin Gishu,Soy,Moi's Bridge,"Plot 366, Lane 4, Outering",20-12-2023,Inactive,Starehe Boys Centre,Postgraduate,Civil Engineering,253722,2022/2023
SCH-000053,Moraa Muthoka Otieno,68136765,071 307 036,moraa.otieno@yahoo.com,1977-01-05,Female,Kisumu,Muhoroni,Ombeyi,"Plot 104, Lane 16, Mugumo",18-Dec-24,Inactive,Rift Valley Institute,Diploma,Civil Engineering,422826,2024/2025
SCH-000054,Onyango Opiyo,32463582,011368958,onyango.opiyo@hotmail.com,1982-05-18,Female,Nakuru,Subukia,Waseges,"House 203, Kileleshwa Street, Ruiru",01-Jun-2025,Active,University of Nairobi,Postgraduate,Agriculture,358947,2022/2023
SCH-000055,Kilonzo Chepkorir,98318907,077833327,chepkorirkilonzo@gmail.com,1969-01-18,female,Kilifi,Ganze,Jaribuni,"house 412, mugumo road, waiyaki",08-01-2024,I,Kenyatta University,CERTIFICATE,Engineering,139813,2022–2023
SCH-000056,Kipsang Judy Ombati,89609762,079521352,kipsang.ombati@gmail.com,1981-09-12,Male,Kilifi,Magarini,Sabaki,"Plot 36, Lane 6, Karen",09-Feb-24,Inactive,Mang'u High School,Postgraduate,Civil Engineering,232903,2022/2023
SCH-000057,Lois Njoroge,13904497,073337743,lois.njoroge@gmail.com,1975-02-06,Male,Kakamega,Lugari,Chekalini,"House 31, Thika Street, Outering",,Active,Prestige Academy,Postgraduate,Architecture,251109,2024/2025
SCH-000058,"Koross, Kerubo",92766793,,kerubo.koross@hotmail.com,1978-06-05,Female,Kilifi,Magarini,Garashi,"Plot 408, Lane 6, Kileleshwa",2025-09-12,,Alliance High School,NULL,Engineering,216866,2024/2025
SCH-000059,Onsongo GitauMartha,98504112,076910211,onsongo.gitau@yahoo.com,1989-11-09,Female,Uasin Gishu,Kesses,Racecourse,"House 134, Karen Street, Kilimani",01/10/2024,Inactive,Eldoret National Polytechnic,Postgraduate,Law,412591,2022/2023
SCH-000060,Jepkoech Rono,80854964,011552120,jepkoech.rono@hotmail.com,1995-11-07,Male,Nairobi,Lang'ata,Karen,"Plot 87, Lane 18, Kilimani",2022-09-10,Inactive,Kabianga High School,Diploma,Journalism,182198,2025/2026
SCH-000061,Nekesa Mwakisha,99484103,073668297,nekesa.mwakisha@gmail.com,1974-05-05,Male,Nyeri,Tetu,Wamagana,"House 318, Thika Superhighway Avenue, Outering",23-Oct-22,Active,Moi University,Diploma,Architecture,90506,2022/2023
SCH-000062,Gathoni Martha Kivuva,20416193,078159379,gathoni.kivuva@gmail.com,1976-09-15,Male,Kilifi,Magarini,Gongoni,"House 109, Limuru Avenue, River Road",23/09/2022,Inactive,Egerton University,Undergraduate,Computer Science,151022,2022/2023
SCH-000063,Kevin Wekesa,21646351,078290988,kevin.wekesa@gmail.com,2005-07-25,Female,Kilifi,Magarini,Sabaki,"House 284, Thika Road, Uhuru",22/12/2024,Pending,University of Nairobi,Undergraduate,Computer Science,172910,2022/2023
SCH-000064,Gitonga Jepkorir,57802228,,gitonga.jepkorir@gmail.com,2001-07-25,Female,N/A,Limuru,NULL,"Plot 404, Lane 9, Argwings Kodhek",09/03/2023,Active,Strathmore University,Secondary,Economics,158088,2024/2025
SCH-000065,Kariuki Brian Mbuthia,64-452-866,070195037,kariuki.mbuthia@hotmail.com,2003-04-11,Female,Kiambu,Kikuyu,Sigona,"House 415, Limuru Road, Kikuyu",07/06/2025,Pending,Maseno School,Postgraduate,Economics,335195,2023/2024
SCH-000066,Syombua Mwirigi,65798756,077309501,syombua.mwirigi@gmail.com,1982-03-28,Female,Nairobi,Dagoretti South,Uthiru,"House 369, Lenana Street, Uhuru",28/07/2025,Pending,Kenya High School,Secondary,Information Technology,433040,2025/2026
SCH-000067,Irene Catherine Mwania,13199132,011316481,irene_mwania@gmail.com,22-12-1968,F,Kisumu,Kisumu West,West Kisumu,"Plot 211, Lane 8, Kiambu",26/11/2024,active,Kenya Methodist University,UNDERGRADUATE,Engineering,188602,2023–2024
SCH-000068,Ndinda Simiyu,57040785,074925250,ndinda.simiyu@gmail.com,2006-12-14,Female,Bomet,Bomet Central,Chesoen,"Plot 280, Lane 16, Argwings Kodhek",26/10/2025,Active,Moi High School Kabarak,Postgraduate,Education,366718,2023/2024
SCH-000069,Mutheu Jane Juma,25016273,078670421,mutheu.juma@gmail.com,1991-09-22,Male,Bomet,N/A,Sigour,"House 167, Ruaraka Avenue, Ruiru",,Active,Kenyatta University,Postgraduate,Nursing,160230,2025/2026
SCH-000070,Miriam Njuguna Mutinda,88387626,010513562,miriam_mutinda@gmail.com,1980-04-22,Male,Uasin Gishu,Ainabkoi,Racecourse,"Plot 259, Lane 4, Juja",08/27/2025,Inactive,Lenana School,Undergraduate,Civil Engineering,314122,2025/2026
SCH-000071,Aaron Wanyonyi Salim,87290551,011265917,aaron.salim@yahoo.com,2000-02-13,Female,Nyeri,Kieni,Thegu,"House 419, Kiambu Drive, Moi Avenue",12-Apr-22,Active,Green Garden Academy,Certificate,Nursing,144286,2023/2024
SCH-000072,Simon Pauline Oduya,62880140,072626658,simon.oduya@gmail.com,,Female,Machakos,Yatta,Kithimani,"Plot 303, Lane 12, Lenana",2025-07-28,Inactive,Mount Kenya University,Postgraduate,Nursing,215607,2023/2024
SCH-000073,Anna Masintde,72624210,077479030,anna.masinde@yahoo.com,2002-01-09,Female,TRANS NZOIA,CHERANGANY,MOTOSI,"Plot 201, Lane 3, Mugumo",05-Oct-2022,Pending,Egerton University,Diploma,Journalism,346115,2022/2023
SCH-000074,Githinji Salim,65163300,072744754,N/A,1973-12-21,Female,Kakamega,Matungu,Mayoni,"Plot 406, Lane 1, Kiambu Road",2025-05-01,Inactive,Kenya Methodist University,Undergraduate,Law,388292,2023/2024
SCH-000075,Lilian Wabomba Juma,39916575,070882260,lilian.juma@yahoo.com,1977-09-16,Female,Kisumu,Kisumu West,West Kisumu,"House 160, Thika Drive, Jogoo",2024-08-22,Pending,Maranda High School,Undergraduate,Education,385419,2024/2025
SCH-000076,Momanyi Mbaka Kosgei,77626740,010749449,momanyi.kosgei@yahoo.com,1988-12-18,Female,Machakos,Machakos Town,Mutituni,"Plot 199, Lane 4, Thika Superhighway",15-May-22,Inactive,Maseno University,Postgraduate,Education,188912,2024/2025
SCH-000077,Jebet Harun Mulandi,70 388 500,010570888,jebet.mulandi@gmail.com,1960-10-22,Female,Uasin Gishu,Ainabkoi,Kaptagat,"Plot 277, Lane 15, Ngong Road",02-Jul-25,Pending,Strathmore University,Secondary,Information Technology,397066,2024/2025
SCH-000078,Kaloki Kipchumba Njuguna,32653778,071361207,kaloki.njuguna@hotmail.com,1951-02-20,Male,Bomet,Bomet East,Chemaner,"Plot 473, Lane 19, Likoni",22/01/2022,Active,University of Nairobi,Postgraduate,Social Work,348339,2023/2024
SCH-000079,Joy Kivuva,22133101,,j.k@yahoo.com,1970-03-15,F,Nairobi,Dagoretti North,Kawangware,"Plot 158, Ln 8, Waiyaki",16-Nov-2024,Inactive,Coast Institute of Technology,POSTGRADUATE,Nursing,166650,2023–2024
SCH-000080,"Kamande, Barnabas Kipngetich",54361087,073199110,barnabas.kamande@gmail.com,1968-07-05,Female,Nakuru,Gilgil,Gilgil,"Plot 265, Lane 1, Kiambu Road",28-Jun-2023,Pending,Prestige Academy,Postgraduate,Business,173467,2022/2023
SCH-000081,Kipkorir Alexander Olela,12152239,072306297,kipkorir.olela@gmail.com,1961-06-01,Female,Nairobi,Dagoretti North,Kilimani,"House 118, Westlands Road, Juja",2023-04-26,Active,Kenya Methodist University,Secondary,Accounting,158999,2025/2026
SCH-000082,Joseph Adoyo Waithera,46102405,010770909,joseph_waithera@yahoo.com,02-16-1987,MALE,Nairobi,Dagoretti North,Kileleshwa,Plot23Lane10Lenana,12-15-2022,pending,Moi High School Kabarak,CERTIFICATE,Engineering,244512,2024 /2025
SCH-000083,Kanana Nicholas Mokua,42123671,011181898,kanana.mokua@gmail.com,N/A,Female,Bungoma,Kanduyi,East Sang'alo,"Plot 305, Lane 5, Thika",2022-07-19,Pending,Kenya High School,Secondary,Journalism,410616,2022/2023
SCH-000084,Kipkemoi Roono,27554482,071948338,kipkemoi.rono@gmail.com,1974-04-02,Female,Uasin Gishu,Kesses,Racecourse,"Plot 101, Lane 5, Jogoo",29-Mar-24,Pending,Starehe Boys Centre,Undergraduate,Agriculture,352099,2022/2023
SCH-000085,Wanjiru Oseko,4627-8860,074716814,wanjiru.oseko@gmail.com,1956-05-28,Male,Uasin Gishu,Ainabkoi,Kapsoya,"Plot 228, Lane 7, Tom Mboya",24-11-2024,Inactive,Moi High School Kabarak,Postgraduate,Engineering,179140,2025/2026
SCH-000086,Kagwiria Mwania Wamuyu,92747419,010547335,kagwiria.wamuyu@yahoo.com,1973-06-04,Female,Machakos,Masinga,Kivaa,"Plot 432, Lane 17, Kileleshwa",2023-01-18,Pending,Maseno University,Secondary,Accounting,218204,2025/2026
SCH-000087,Judith Ombati,83601776,25475628866,judith.ombati@hotmail.com,1993-01-16,Female,Uasin Gishu,Soy,Kipsomba,"House 134, Thika Superhighway Street, Tom Mboya",12-Nov-2024,Inactive,Coast Institute of Technology,Diploma,Agriculture,128302,2022/2023
SCH-000088,Nanjala Anyango,21860851,011714314,nanjala.anyango@gmail.com,2005-12-15,Female,Nairobi,Westlands,Parklands,"House 221, Likoni Road, Tom Mboya",08/09/2022,Pending,Maranda High School,Diploma,Social Work,129513,2025/2026
SCH-000089,Emily Ombati,91211357,011975468,emily.ombati@gmail.com,1975-03-08,Male,Kilifi,Ganze,Jaribuni,"Plot 456, Lane 11, Limuru",17/04/2023,Inactive,Coast Institute of Technology,Secondary,Accounting,135782,2025/2026
SCH-000090,Ojwang Kilonzo Ndunda,28150476,011839692,ojwang.ndunda@gmail.com,1997-01-05,Male,Nakuru,Gilgil,Gilgil,"House 285, Limuru Road, Thika Superhighway",03/23/2022,Active,Maseno School,Secondary,Law,286372,2024/2025
SCH-000091,Kaimenyi Akinyi Kipkoech,68353816,075415710,kaimenyi.kipkoech@outlook.com,1989-03-20,Male,Nairobi,Westlands,Mountain View,"House 38, Uhuru Road, River Road",2025-03-25,Inactive,N/A,Secondary,Public Health,396164,2025/2026
SCH-000092,Thomas Kimani Wanjohi,24569958,077177979,thomas.wanjohi@gmail.com,1988-05-19,Female,Nyeri,Mathira,Ruguru,"House 351, Lenana Drive, Moi Avenue",02/07/2023,Pending,Starehe Boys Centre,Postgraduate,Medicine,246167,2023/2024
SCH-000093,Jonathan Alice Wairimu,70058440,076875491,jonathan.wairimu@outlook.com,1973-03-09,Female,Kisumu,Nyando,Awasi/Onjiko,"Plot 133, Lane 13, Waiyaki",20230914,Pending,JKUAT,Postgraduate,Agriculture,205663,2025/2026
SCH-000094,Mutheu Olea,17075698,072499140,mutheu.olela@gmail.com,,Male,Mombasa,Kisauni,N/A,"House 443, Argwings Kodhek Street, Limuru",10-03-2023,N/A,Prestige Academy,Postgraduate,Accounting,314656,2024/2025
SCH-000095,Aoko Mwakisha,34 219 451,073759737,aoko.mwakisha@gmail.com,1962-07-22,Male,Nyeri,Mathira,Ruguru,"House 230, Ngong Road Avenue, Kasarani",04/08/2023,Inactive,JKUAT,Diploma,Education,374942,2025/2026
SCH-000096,Agnes  Muthaa  Kipchirchir,43739900,076837435,agnes.kipchirchir@gmail.com,1957-05-03,Male,NULL,Kisumu West,North Kisumu,N/A,NULL,Pending,Kenya High School,Secondary,Engineering,205903,2025/2026
SCH-000097,Odhiambo Bosibori Opiyo,84469533,071273126,odhiambo.opiyo@yahoo.com,2004-07-21,Female,Kisumu,Nyakach,Central Nyakach,"Plot 355, Lane 13, Moi Avenue",20250809,Inactive,Kenya High School,Undergraduate,Accounting,202663,2024/2025
SCH-000098,Collins Mumo Nekesa,10588283,010905245,collins69@yahoo.com,20-Feb-84,MALE,Kisumu,Kisumu Central,Nyalenda 'B',"PLOT 247, LANE 18, WAIYAKI",21-May-2025,inactive,University of Nairobi,CERTIFICATE,Information Technology,156962,2022–2023
SCH-000099,Kiprop Nyambane Wabomba,28896219,011156010,kiprop.wabomba@outlook.com,1996-12-18,Female,Machakos,Masinga,Ekalakala,"Plot 451, Lane 6, Westlands",23-Jan-23,Inactive,Moi University,Undergraduate,Economics,111761,2025/2026
SCH-000100,Mutua Githinji Musalia,99290821,010688186,mutua.musalia@gmail.com,2001-02-05,Female,Bungoma,Sirisia,Malakisi/South Kulisiru,"House 295, Ngong Road Avenue, Argwings Kodhek",26/05/2024,Inactive,Kenya High School,Secondary,Public Health,156957,2023/2024
SCH-000101,Nanjala Awiti,78242493,073403798,nanjala.awiti@gmail.com,1971-03-13,Male,Bungoma,Webuye West,Sitikho,"Plot 171, Lane 17, Limuru",13/05/2025,Pending,Kabianga High School,Certificate,Business,290868,2025/2026
SCH-000102,Muriuki Towett,97252135,010174558,muriuki.towett@gmail.com,2006-05-11,Female,Nyeri,Nyeri Town,Kamakwa/Mukaro,"Plot 78, Lane 17, Langata",09-02-2022,Active,Maseno University,Postgraduate,Social Work,219852,2022/2023
SCH-000103,Paul Kiprop,72837908,070776428,paul.kiprop@yahoo.com,1960-04-07,Female,Kiambu,Ruiru,Kahawa Wendani,"Plot 99, Lane 9, Mombasa Road",08-10-2023,Pending,Maseno University,Diploma,Information Technology,183764,2024/2025
SCH-000104,Joy Andrew Mwakideu,77699065,071413801,joy.mwakideu@yahoo.com,1985-03-06,Male,Nakuru,Kuresoi North,Kamara,"Plot 263, Lane 19, Karen",2023-02-08,Active,St. Joseph's School,Certificate,Economics,148621,2022/2023
SCH-000105,George Keter,78759020,074984027,george.keter@outlook.com,1981-09-21,Male,Kiambu,Ruiru,Kahawa Wendani,"House 328, Kiambu Road Street, Langata",27-12-2025,Active,Maseno University,Secondary,Civil Engineering,452459,2024/2025
SCH-000106,Onsongo Jekporir,38204138,078421583,onsongo.jepkorir@outlook.com,1953-02-11,Male,Meru,Igembe South,Nkondi,"Plot 190, Lane 3, Athi River",19/04/2022,Pending,Prestige Academy,Diploma,Architecture,264711,2025/2026
